id,country,institution,namerank,has_wiki,sitelinks,pageviews_30d,log_pv,log_sl
csrankings_wajih_ul_hassan,USA,University of Virginia,0.3376,0,0,0,0.0,0.0
csrankings_xin_liu_0002,USA,Univ. of California - Davis,0.4419,0,0,0,0.0,0.0
csrankings_daniel_moyer,USA,Vanderbilt University,0.353,0,0,0,0.0,0.0
csrankings_junichi_suzuki,USA,University of Massachusetts Boston,0.4249,0,0,0,0.0,0.0
csrankings_jaroslaw_r__rossignac,USA,Georgia Institute of Technology,0.6207,0,0,0,0.0,0.0
csrankings_ted_herman,USA,University of Iowa,0.5373,0,0,0,0.0,0.0
csrankings_sumanta_n__pattanaik,USA,University of Central Florida,0.483,0,0,0,0.0,0.0
csrankings_giovanni_vigna,USA,Univ. of California - Santa Barbara,0.6028,0,0,0,0.0,0.0
csrankings_yuting_wang_0001,China,Shanghai Jiao Tong University,0.2341,0,0,0,0.0,0.0
csrankings_jun_xiao_0001,China,Zhejiang University,0.4116,0,0,0,0.0,0.0
csrankings_nazanin_rahnavard,USA,University of Central Florida,0.3205,0,0,0,0.0,0.0
csrankings_william_yeoh_0001,USA,Washington University in St. Louis,0.3962,0,0,0,0.0,0.0
csrankings_cheng_zhuo,China,Zhejiang University,0.2682,0,0,0,0.0,0.0
csrankings_samira_manabi_khan,USA,University of Virginia,0.2581,0,0,0,0.0,0.0
csrankings_bo_zhao_0023,China,Wuhan University,0.1876,0,0,0,0.0,0.0
csrankings_marco_fyfe_pietro_gillies,USA,Goldsmiths University of London,0.3289,0,0,0,0.0,0.0
csrankings_dae_hyun_kim_0004,USA,Washington State University,0.2489,0,0,0,0.0,0.0
csrankings_stephanie_j__lunn,USA,Florida International University,0.2632,0,0,0,0.0,0.0
csrankings_venkatachalam_anantharam,USA,Univ. of California - Berkeley,0.4981,0,0,0,0.0,0.0
csrankings_juncheng_yang,USA,Harvard University,0.2143,0,0,0,0.0,0.0
csrankings_hongliang_yu,China,Tsinghua University,0.2057,0,0,0,0.0,0.0
csrankings_ronald_d__dutton,USA,University of Central Florida,0.2541,0,0,0,0.0,0.0
csrankings_yong_li_0008,China,Tsinghua University,0.3446,0,0,0,0.0,0.0
csrankings_hao_peng_0009,USA,Univ. of Illinois at Urbana-Champaign,0.3195,0,0,0,0.0,0.0
csrankings_chad_mourning,USA,Ohio University,0.1981,0,0,0,0.0,0.0
csrankings_xiaolin_huang,China,Shanghai Jiao Tong University,0.5289,0,0,0,0.0,0.0
csrankings_shirin_nilizadeh,USA,University of Texas at Arlington,0.4505,0,0,0,0.0,0.0
csrankings_iris_bahar,USA,Colorado School of Mines,0.5184,1,1,130,4.875197323201151,0.6931471805599453
csrankings_shanghang_zhang,China,Peking University,0.3316,0,0,0,0.0,0.0
csrankings_jenna_l__marquard,USA,Univ. of Massachusetts Amherst,0.3465,0,0,0,0.0,0.0
csrankings_jay_ligatti,USA,University of South Florida,0.5572,0,0,0,0.0,0.0
csrankings_robert_pless,USA,George Washington University,0.5038,0,0,0,0.0,0.0
csrankings_xin_jiang_0001,China,Harbin Institute of Technology,0.173,0,0,0,0.0,0.0
csrankings_eamonn_j__keogh,USA,Univ. of California - Riverside,0.6373,1,0,190,5.25227342804663,0.0
csrankings_michael_a__forbes_0001,USA,Univ. of Illinois at Urbana-Champaign,0.393,0,0,0,0.0,0.0
