id,title,namerank,nr_std,refusal_rate,mean_cov,mean_acc,n_models,region_group,region,country,category,start_year,start_month,peak_views,total_views,eff_duration,days_above_10,tail_daily,gold_words
event_cpc_and_world_political_parties_summit,CPC and World Political Parties Summit,0.8055555555555556,0.39577241246597245,0.05555555555555555,0.0,0.0,36,East Asia,East Asia,China,politics_elections,2021,7,118,2251,19.08,41,6.3,84
event_2023_rajasthan_legislative_assembly_election,2023 Rajasthan Legislative Assembly election,0.7837837837837838,0.4116634111277789,0.05405405405405406,0.0,0.0,37,South & Southeast Asia,South Asia,India,politics_elections,2023,11,180140,1112006,6.17,10,430.5,86
event_2023_bulgarian_parliamentary_election,2023 Bulgarian parliamentary election,0.7837837837837838,0.4116634111277789,0.02702702702702703,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Bulgaria,politics_elections,2023,4,41869,298123,7.12,6,285.6,146
event_2023_montenegrin_presidential_election,2023 Montenegrin presidential election,0.7837837837837838,0.4116634111277789,0.02702702702702703,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Montenegro,politics_elections,2023,3,20974,211652,10.09,17,60.7,188
event_2021_northern_ireland_riots,2021 Northern Ireland riots,0.7837837837837838,0.4116634111277789,0.02702702702702703,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,civil_unrest,2021,3,49790,196390,3.94,5,111.1,112
event_perm_state_university_shooting,Perm State University shooting,0.7837837837837838,0.4116634111277789,0.05405405405405406,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Russia,crime_legal,2021,9,8486,70801,8.34,8,100.6,45
event_2023_fifa_u_17_world_cup,2023 FIFA U-17 World Cup,0.7837837837837838,0.4116634111277789,0.0,0.0,0.0,37,South & Southeast Asia,Southeast Asia,Indonesia,sports,2023,11,82437,1280023,15.53,25,395.2,193
event_september_2022_armenia_azerbaijan_clashes,September 2022 Armenia–Azerbaijan clashes,0.7837837837837838,0.4116634111277789,0.0,0.0,0.0,37,South & Southeast Asia,Central Asia & Caucasus,Armenia,conflict_terrorism,2022,9,55162,341229,6.19,8,164.1,189
event_2023_brovary_helicopter_crash,2023 Brovary helicopter crash,0.7837837837837838,0.4116634111277789,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,accident_disaster,2023,1,21122,212553,10.06,13,138.1,74
event_2021_icelandic_parliamentary_election,2021 Icelandic parliamentary election,0.7837837837837838,0.4116634111277789,0.0,0.0,0.0,37,Western Europe,Western Europe,Iceland,politics_elections,2021,9,42703,204628,4.79,4,155.9,81
event_2023_calabria_migrant_boat_disaster,2023 Calabria migrant boat disaster,0.7837837837837838,0.4116634111277789,0.0,0.0,0.0,37,Western Europe,Western Europe,Italy,accident_disaster,2023,2,17492,104560,5.98,14,21.3,110
event_coronation_concert,Coronation Concert,0.7777777777777778,0.41573970964154905,0.027777777777777776,0.0,0.0,36,Western Europe,Western Europe,United Kingdom,entertainment_culture,2023,5,5881,46987,7.99,5,57.5,66
event_2021_rio_de_janeiro_shootout,2021 Rio de Janeiro shootout,0.7777777777777778,0.41573970964154905,0.08333333333333333,0.0,0.0,36,Latin America,Latin America,Brazil,conflict_terrorism,2021,5,2232,12178,5.46,6,13.9,58
event_2022_2023_philippine_sugar_crisis,2022–2023 Philippine sugar crisis,0.7777777777777778,0.41573970964154905,0.027777777777777776,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Philippines,business_tech,2022,8,141,10396,73.73,188,24.3,129
event_2021_march_4_justice,2021 March 4 Justice,0.7777777777777778,0.41573970964154905,0.05555555555555555,0.0,0.0,36,Anglo-America & Oceania,Oceania,Australia,civil_unrest,2021,3,656,9443,14.39,21,20.0,125
event_storm_franklin,Storm Franklin,0.7777777777777778,0.41573970964154905,0.1388888888888889,0.0,0.0,36,Western Europe,Western Europe,International,natural_disaster,2022,2,759,5568,7.34,5,8.0,101
event_2021_flores_earthquake,2021 Flores earthquake,0.7777777777777778,0.41573970964154905,0.027777777777777776,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Indonesia,natural_disaster,2021,12,347,4248,12.24,20,10.8,42
event_2023_dengue_outbreak_in_bangladesh,2023 dengue outbreak in Bangladesh,0.7777777777777778,0.41573970964154905,0.027777777777777776,0.0,0.0,36,South & Southeast Asia,South Asia,Bangladesh,health,2023,4,545,12993,23.84,96,19.2,199
event_2021_south_korean_by_elections,2021 South Korean by-elections,0.7777777777777778,0.41573970964154905,0.0,0.0,0.0,36,East Asia,East Asia,South Korea,politics_elections,2021,4,6011,48992,8.15,11,95.3,178
event_2022_world_snooker_championship,2022 World Snooker Championship,0.7567567567567568,0.42904075314560924,0.02702702702702703,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,sports,2022,4,103643,1568234,15.13,32,424.3,189
event_2022_saskatchewan_stabbings,2022 Saskatchewan stabbings,0.7567567567567568,0.42904075314560924,0.05405405405405406,0.0,0.0,37,Anglo-America & Oceania,North America,Canada,crime_legal,2022,9,99086,430529,4.35,7,121.7,184
event_belgrade_school_shooting,Belgrade school shooting,0.7567567567567568,0.42904075314560924,0.05405405405405406,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Serbia,crime_legal,2023,5,4940,394394,79.84,341,1204.2,200
event_chinese_taipei_at_the_2020_summer_olympics,Chinese Taipei at the 2020 Summer Olympics,0.7567567567567568,0.42904075314560924,0.05405405405405406,0.0,0.0,37,East Asia,East Asia,Japan,sports,2021,7,25097,234705,9.35,18,33.2,90
event_2023_fifa_u_20_world_cup,2023 FIFA U-20 World Cup,0.7567567567567568,0.42904075314560924,0.02702702702702703,0.0,0.0,37,Latin America,Latin America,Argentina,sports,2023,5,83324,1607978,19.3,27,587.2,188
event_juliaca_massacre,Juliaca massacre,0.75,0.4330127018922193,0.1111111111111111,0.0,0.0,36,Latin America,Latin America,Peru,civil_unrest,2023,1,3263,34401,10.54,17,44.8,191
event_2022_nauruan_parliamentary_election,2022 Nauruan parliamentary election,0.75,0.4330127018922193,0.027777777777777776,0.0,0.0,36,Anglo-America & Oceania,Oceania,Nauru,politics_elections,2022,9,5147,33233,6.46,9,16.0,41
event_2021_dali_earthquake,2021 Dali earthquake,0.75,0.4330127018922193,0.05555555555555555,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2021,5,999,7406,7.41,7,6.2,47
event_29_december_2023_russian_strikes_on_ukraine,29 December 2023 Russian strikes on Ukraine,0.75,0.4330127018922193,0.0,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2023,12,5588,33167,5.94,7,18.6,64
event_plymouth_shooting,Plymouth shooting,0.7297297297297297,0.4440993709501347,0.10810810810810811,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,crime_legal,2021,8,13736,280247,20.4,34,901.1,62
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,0.7297297297297297,0.4440993709501347,0.1891891891891892,0.0,0.0,37,East Asia,East Asia,China,civil_unrest,2022,11,36523,277052,7.59,12,164.4,198
event_2021_russian_grand_prix,2021 Russian Grand Prix,0.7297297297297297,0.44409937095013474,0.02702702702702703,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Russia,sports,2021,9,23466,204710,8.72,11,248.6,167
event_2022_r_mqi_fire,2022 Ürümqi fire,0.7297297297297297,0.44409937095013474,0.08108108108108109,0.0,0.0,37,East Asia,East Asia,China,accident_disaster,2022,11,31961,143814,4.5,11,36.4,124
event_swimming_at_the_2020_summer_olympics_women_s_4_100_metre_med,Swimming at the 2020 Summer Olympics – Women's 4 × 100 metre medley relay,0.7297297297297297,0.44409937095013474,0.0,0.0,0.0,37,East Asia,East Asia,Japan,sports,2021,7,18923,80786,4.27,6,62.7,69
event_typhoon_doksuri,Typhoon Doksuri,0.7222222222222222,0.4479032082388083,0.1388888888888889,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2023,7,1272,65074,51.16,198,104.0,195
event_2023_beninese_parliamentary_election,2023 Beninese parliamentary election,0.7222222222222222,0.44790320823880836,0.027777777777777776,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Benin,politics_elections,2023,1,10999,60919,5.54,15,31.7,56
event_juno_awards_of_2023,Juno Awards of 2023,0.7222222222222222,0.44790320823880836,0.027777777777777776,0.0,0.0,36,Anglo-America & Oceania,North America,Canada,entertainment_culture,2023,3,8419,43826,5.21,6,61.5,160
event_2023_antisemitic_riots_in_the_north_caucasus,2023 antisemitic riots in the North Caucasus,0.7222222222222222,0.44790320823880836,0.08333333333333333,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,civil_unrest,2023,10,1449,18811,12.98,21,29.3,40
event_2023_south_america_heat_wave,2023 South America heat wave,0.7222222222222222,0.4479032082388083,0.1111111111111111,0.0,0.0,36,Latin America,Latin America,International,natural_disaster,2023,7,860,10124,11.77,15,14.4,178
event_2021_luxian_earthquake,2021 Luxian earthquake,0.7222222222222222,0.44790320823880836,0.16666666666666666,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2021,9,91,2694,29.6,88,2.4,105
event_2023_dublin_riot,2023 Dublin riot,0.7027027027027027,0.457068500683453,0.13513513513513514,0.0,0.0,37,Western Europe,Western Europe,Ireland,civil_unrest,2023,11,25300,198960,7.86,13,129.6,192
event_2023_venezuelan_referendum,2023 Venezuelan referendum,0.7027027027027027,0.45706850068345306,0.08108108108108109,0.0,0.0,37,Latin America,Latin America,Venezuela,politics_elections,2023,12,31628,168208,5.32,12,33.6,199
event_2023_eruption_of_mount_marapi,2023 eruption of Mount Marapi,0.7027027027027027,0.457068500683453,0.05405405405405406,0.0,0.0,37,South & Southeast Asia,Southeast Asia,Indonesia,natural_disaster,2023,12,28060,95085,3.39,8,33.3,49
event_2023_prague_shootings,2023 Prague shootings,0.7027027027027027,0.45706850068345306,0.13513513513513514,0.0,0.0,37,Western Europe,Western Europe,Czech Republic,crime_legal,2023,12,1125,79930,71.05,315,191.3,157
event_heidelberg_university_shooting,Heidelberg University shooting,0.7027027027027027,0.45706850068345306,0.13513513513513514,0.0,0.0,37,Western Europe,Western Europe,Germany,crime_legal,2022,1,8758,66842,7.63,9,86.2,79
event_2023_russian_elections,2023 Russian elections,0.6944444444444444,0.4606423319938055,0.05555555555555555,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,politics_elections,2023,9,4489,47645,10.61,11,60.4,57
event_2023_french_senate_election,2023 French Senate election,0.6944444444444444,0.4606423319938055,0.05555555555555555,0.0,0.0,36,Western Europe,Western Europe,France,politics_elections,2023,9,2303,47012,20.41,48,122.3,43
event_afaka_kidnapping,Afaka kidnapping,0.6944444444444444,0.4606423319938055,0.1111111111111111,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Nigeria,conflict_terrorism,2021,3,256,6688,26.12,59,13.0,69
event_2022_royal_tour_of_canada,2022 royal tour of Canada,0.6944444444444444,0.4606423319938055,0.08333333333333333,0.0,0.0,36,Anglo-America & Oceania,North America,Canada,royalty_ceremony,2022,5,331,5680,17.16,30,5.8,75
event_2023_detroit_casino_strike,2023 Detroit casino strike,0.6944444444444444,0.4606423319938055,0.1111111111111111,0.0,0.0,36,Anglo-America & Oceania,North America,United States,business_tech,2023,10,174,3350,19.25,41,1.4,81
event_2023_pakistani_census,2023 Pakistani census,0.6756756756756757,0.4681218398834804,0.10810810810810811,0.0,0.0,37,South & Southeast Asia,South Asia,Pakistan,politics_elections,2023,3,2228,121682,54.61,269,341.4,145
event_2023_haryana_riots,2023 Haryana riots,0.6756756756756757,0.4681218398834804,0.1891891891891892,0.0,0.0,37,South & Southeast Asia,South Asia,India,civil_unrest,2023,7,16348,120372,7.36,10,91.0,188
event_2022_bratislava_shooting,2022 Bratislava shooting,0.6666666666666666,0.4714045207910317,0.08333333333333333,0.0,0.0,36,Western Europe,Western Europe,Slovakia,conflict_terrorism,2022,10,5783,63992,11.07,13,105.1,183
event_2023_chilean_constitutional_referendum,2023 Chilean constitutional referendum,0.6666666666666666,0.4714045207910316,0.05555555555555555,0.0,0.0,36,Latin America,Latin America,Chile,politics_elections,2023,12,9370,48818,5.21,3,46.7,78
event_royal_commission_into_defence_and_veteran_suicide,Royal Commission into Defence and Veteran Suicide,0.6666666666666666,0.4714045207910317,0.08333333333333333,0.0,0.0,36,Anglo-America & Oceania,Oceania,Australia,crime_legal,2021,7,14,1019,72.79,229,3.2,121
event_2022_23_national_t20_cup,2022–23 National T20 Cup,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,sports,2022,8,730,9685,13.27,18,9.3,73
event_2023_jacksonville_shooting,2023 Jacksonville shooting,0.6486486486486487,0.47739247926096473,0.13513513513513514,0.0,0.0,37,Anglo-America & Oceania,North America,United States,conflict_terrorism,2023,8,41795,308708,7.39,5,593.1,66
event_tornado_outbreak_of_march_31_april_1_2023,"Tornado outbreak of March 31 – April 1, 2023",0.6486486486486487,0.47739247926096473,0.05405405405405406,0.0,0.0,37,Anglo-America & Oceania,North America,United States,natural_disaster,2023,3,42500,265730,6.25,7,190.8,191
event_2023_cleveland_texas_shooting,"2023 Cleveland, Texas shooting",0.6486486486486487,0.47739247926096473,0.16216216216216217,0.0,0.0,37,Anglo-America & Oceania,North America,United States,crime_legal,2023,4,20159,141377,7.01,10,33.4,44
event_2022_peshawar_mosque_attack,2022 Peshawar mosque attack,0.6486486486486487,0.47739247926096473,0.16216216216216217,0.0,0.0,37,South & Southeast Asia,South Asia,Pakistan,conflict_terrorism,2022,3,19572,135788,6.94,14,130.4,62
event_2023_south_american_u_20_championship,2023 South American U-20 Championship,0.6486486486486487,0.47739247926096473,0.0,0.0,0.0,37,Latin America,Latin America,Colombia,sports,2023,1,17794,354552,19.93,32,95.6,194
event_february_2022_north_american_winter_storm,February 2022 North American winter storm,0.6388888888888888,0.480322679605294,0.05555555555555555,0.0,0.0,36,Anglo-America & Oceania,North America,United States,natural_disaster,2022,2,2624,45264,17.25,31,94.1,173
event_sanaa_crowd_crush,Sanaa crowd crush,0.6388888888888888,0.480322679605294,0.19444444444444445,0.0,0.0,36,Middle East & Africa,Middle East & North Africa,Yemen,accident_disaster,2023,4,11249,43988,3.91,5,3.6,69
event_2021_salisbury_rail_crash,2021 Salisbury rail crash,0.6388888888888888,0.480322679605294,0.05555555555555555,0.0,0.0,36,Western Europe,Western Europe,United Kingdom,accident_disaster,2021,10,6461,38803,6.01,8,39.0,50
event_january_2022_north_american_blizzard,January 2022 North American blizzard,0.6388888888888888,0.48032267960529396,0.027777777777777776,0.0,0.0,36,Anglo-America & Oceania,North America,International,natural_disaster,2022,1,2460,38678,15.72,32,149.1,178
event_typhoon_lan_2023,Typhoon Lan (2023),0.6388888888888888,0.48032267960529396,0.08333333333333333,0.0,0.0,36,East Asia,East Asia,Japan,natural_disaster,2023,8,524,19140,36.53,84,23.4,184
event_2022_sindh_local_government_elections,2022 Sindh local government elections,0.6388888888888888,0.480322679605294,0.05555555555555555,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,politics_elections,2022,6,889,11101,12.49,27,7.1,61
event_2022_guizhou_bus_crash,2022 Guizhou bus crash,0.6388888888888888,0.480322679605294,0.08333333333333333,0.0,0.0,36,East Asia,East Asia,China,accident_disaster,2022,9,1016,9387,9.24,11,5.3,81
event_2022_ya_an_earthquake,2022 Ya'an earthquake,0.6388888888888888,0.48032267960529396,0.1388888888888889,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2022,6,1109,9059,8.17,11,6.7,55
event_typhoon_cempaka,Typhoon Cempaka,0.6388888888888888,0.480322679605294,0.19444444444444445,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2021,7,301,3744,12.44,20,7.2,183
event_2022_central_american_and_caribbean_beach_games,2022 Central American and Caribbean Beach Games,0.6388888888888888,0.48032267960529396,0.0,0.0,0.0,36,Latin America,Latin America,Colombia,sports,2022,11,149,3075,20.64,39,3.6,59
event_2023_nottingham_attacks,2023 Nottingham attacks,0.6216216216216216,0.48498266067368534,0.16216216216216217,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,conflict_terrorism,2023,6,11772,153774,13.06,23,396.2,177
event_2023_v_league_1,2023 V.League 1,0.6216216216216216,0.48498266067368534,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,Southeast Asia,Vietnam,sports,2023,2,1226,80304,65.5,269,118.0,113
event_ayacucho_massacre,Ayacucho massacre,0.6111111111111112,0.48749802152178456,0.1388888888888889,0.0,0.0,36,Latin America,Latin America,Peru,conflict_terrorism,2022,12,1599,40539,25.35,60,48.4,176
event_nduga_hostage_crisis,Nduga hostage crisis,0.6111111111111112,0.4874980215217845,0.08333333333333333,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Indonesia,conflict_terrorism,2023,2,1981,32763,16.54,12,105.4,50
event_kostroma_caf_fire,Kostroma café fire,0.6111111111111112,0.4874980215217845,0.08333333333333333,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,accident_disaster,2022,11,2114,9623,4.55,4,10.0,52
event_laval_daycare_bus_crash,Laval daycare bus crash,0.6111111111111112,0.4874980215217845,0.1111111111111111,0.0,0.0,36,Anglo-America & Oceania,North America,Canada,accident_disaster,2023,2,949,8521,8.98,8,10.8,155
event_white_rock_lake_fire,White Rock Lake fire,0.6111111111111112,0.4874980215217845,0.1388888888888889,0.0,0.0,36,Anglo-America & Oceania,North America,Canada,natural_disaster,2021,7,176,5119,29.09,85,14.2,77
event_2023_rio_grande_do_sul_floods,2023 Rio Grande do Sul floods,0.6111111111111112,0.48749802152178456,0.1111111111111111,0.0,0.0,36,Latin America,Latin America,Brazil,natural_disaster,2023,9,452,3772,8.35,16,3.3,84
event_2022_plateau_state_massacres,2022 Plateau State massacres,0.5833333333333334,0.4930066485916347,0.1111111111111111,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Nigeria,conflict_terrorism,2022,4,7231,41787,5.78,7,7.0,41
event_2023_ankara_bombing,2023 Ankara bombing,0.5833333333333334,0.4930066485916346,0.19444444444444445,0.0,0.0,36,Middle East & Africa,Middle East & North Africa,Turkey,conflict_terrorism,2023,10,4217,30172,7.15,8,41.8,76
event_2023_caquet_cessna_stationair_crash,2023 Caquetá Cessna Stationair crash,0.5833333333333334,0.4930066485916347,0.19444444444444445,0.0,0.0,36,Latin America,Latin America,Colombia,accident_disaster,2023,5,732,17783,24.29,55,21.4,87
event_2022_indonesian_student_protests,2022 Indonesian student protests,0.5833333333333334,0.4930066485916347,0.08333333333333333,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Indonesia,civil_unrest,2022,4,652,9106,13.97,20,7.8,129
event_2023_saint_henri_sainte_anne_provincial_by_election,2023 Saint-Henri—Sainte-Anne provincial by-election,0.5833333333333334,0.4930066485916347,0.05555555555555555,0.0,0.0,36,Anglo-America & Oceania,North America,Canada,politics_elections,2023,3,1369,8471,6.19,6,5.7,43
event_2022_turkish_super_cup,2022 Turkish Super Cup,0.5833333333333334,0.4930066485916347,0.05555555555555555,0.0,0.0,36,Middle East & Africa,Middle East & North Africa,Turkey,sports,2022,7,299,7464,24.96,52,25.0,87
event_2021_imperial_county_car_crash,2021 Imperial County car crash,0.5833333333333334,0.4930066485916347,0.19444444444444445,0.0,0.0,36,Anglo-America & Oceania,North America,United States,accident_disaster,2021,3,136,3346,24.6,61,4.4,50
event_mladenovac_and_smederevo_shootings,Mladenovac and Smederevo shootings,0.5555555555555556,0.4969039949999533,0.08333333333333333,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Serbia,crime_legal,2023,5,986,54226,55.0,231,100.0,186
event_2021_piedade_de_caratinga_beechcraft_king_air_crash,2021 Piedade de Caratinga Beechcraft King Air crash,0.5555555555555556,0.49690399499995336,0.1111111111111111,0.0,0.0,36,Latin America,Latin America,Brazil,accident_disaster,2021,11,14611,47015,3.22,3,27.0,59
event_2023_philippine_airspace_closure,2023 Philippine airspace closure,0.5555555555555556,0.49690399499995336,0.1111111111111111,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Philippines,accident_disaster,2023,1,1533,36703,23.94,32,50.6,198
event_2023_coulson_aviation_boeing_737_crash,2023 Coulson Aviation Boeing 737 crash,0.5555555555555556,0.49690399499995336,0.08333333333333333,0.0,0.0,36,Anglo-America & Oceania,Oceania,Australia,accident_disaster,2023,2,477,30726,64.42,215,115.3,68
event_2022_kusel_shooting,2022 Kusel shooting,0.5555555555555556,0.49690399499995336,0.1111111111111111,0.0,0.0,36,Western Europe,Western Europe,Germany,crime_legal,2022,1,907,4937,5.44,9,9.1,50
event_2021_women_s_state_of_origin,2021 Women's State of Origin,0.5555555555555556,0.49690399499995336,0.0,0.0,0.0,36,Anglo-America & Oceania,Oceania,Australia,sports,2021,6,4250,8345,1.96,2,5.3,58
event_2023_andhra_pradesh_train_collision,2023 Andhra Pradesh train collision,0.5277777777777778,0.49922779876698414,0.1388888888888889,0.0,0.0,36,South & Southeast Asia,South Asia,India,accident_disaster,2023,10,1157,22360,19.33,31,17.0,92
event_ateneo_de_manila_university_shooting,Ateneo de Manila University shooting,0.5277777777777778,0.4992277987669841,0.05555555555555555,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Philippines,crime_legal,2022,7,2587,21576,8.34,7,38.5,57
event_2022_maryland_question_4,2022 Maryland Question 4,0.5277777777777778,0.4992277987669841,0.1111111111111111,0.0,0.0,36,Anglo-America & Oceania,North America,United States,politics_elections,2022,11,485,9946,20.51,20,13.5,61
event_2023_mexico_city_metro_train_crash,2023 Mexico City Metro train crash,0.5277777777777778,0.49922779876698414,0.1388888888888889,0.0,0.0,36,Latin America,Latin America,Mexico,accident_disaster,2023,1,429,8188,19.09,40,10.3,65
event_2023_marseille_building_collapse,2023 Marseille building collapse,0.5277777777777778,0.4992277987669841,0.16666666666666666,0.0,0.0,36,Western Europe,Western Europe,France,accident_disaster,2023,4,105,6173,58.79,273,12.0,70
event_2022_balochistan_local_government_elections,2022 Balochistan local government elections,0.5277777777777778,0.4992277987669841,0.08333333333333333,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,politics_elections,2022,5,235,3267,13.9,18,3.4,79
event_2022_imo_rivers_explosion,2022 Imo-Rivers explosion,0.5277777777777778,0.49922779876698414,0.2777777777777778,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Nigeria,accident_disaster,2022,4,253,1841,7.28,10,2.2,119
event_2021_palmas_fr_plane_crash,2021 Palmas FR plane crash,0.5,0.5,0.16666666666666666,0.0,0.0,36,Latin America,Latin America,Brazil,accident_disaster,2021,1,2948,37170,12.61,12,43.8,85
event_saudades_massacre,Saudades massacre,0.5,0.5,0.19444444444444445,0.0,0.0,36,Latin America,Latin America,Brazil,crime_legal,2021,5,1069,10988,10.28,14,15.1,74
event_2023_vote_of_no_confidence_in_the_government_of_pedro_s_nche,2023 vote of no confidence in the government of Pedro Sánchez,0.5,0.5,0.1111111111111111,0.0,0.0,36,Western Europe,Western Europe,Spain,politics_elections,2023,3,2487,7213,2.9,3,2.6,143
event_2023_mercedes_benz_factory_shooting,2023 Mercedes-Benz factory shooting,0.5,0.5,0.1388888888888889,0.0,0.0,36,Western Europe,Western Europe,Germany,crime_legal,2023,5,2623,7131,2.72,3,5.6,123
event_police_operations_in_the_2022_brazilian_general_election,Police operations in the 2022 Brazilian general election,0.5,0.5,0.0,0.0,0.0,36,Latin America,Latin America,Brazil,politics_elections,2022,10,136,1800,13.24,26,1.7,71
event_2023_union_square_riot,2023 Union Square riot,0.4864864864864865,0.49981735159207924,0.1891891891891892,0.0,0.0,37,Anglo-America & Oceania,North America,United States,civil_unrest,2023,8,9546,95741,10.03,2,222.7,174
event_2023_atlanta_shooting,2023 Atlanta shooting,0.4722222222222222,0.4992277987669841,0.2777777777777778,0.0,0.0,36,Anglo-America & Oceania,North America,United States,crime_legal,2023,5,13066,59064,4.52,6,33.3,57
event_wimbledon_school_crash,Wimbledon school crash,0.4722222222222222,0.4992277987669841,0.19444444444444445,0.0,0.0,36,Western Europe,Western Europe,United Kingdom,accident_disaster,2023,7,1411,33234,23.55,43,84.0,161
event_2023_doda_bus_accident,2023 Doda bus accident,0.4722222222222222,0.4992277987669841,0.1388888888888889,0.0,0.0,36,South & Southeast Asia,South Asia,India,accident_disaster,2023,11,883,5504,6.23,9,2.2,44
event_moscow_multifunctional_center_shooting,Moscow Multifunctional Center shooting,0.4722222222222222,0.4992277987669841,0.19444444444444445,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,crime_legal,2021,12,217,3185,14.68,23,8.6,43
event_2021_kebbi_massacre,2021 Kebbi massacre,0.4722222222222222,0.4992277987669841,0.08333333333333333,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Nigeria,conflict_terrorism,2021,6,95,1852,19.49,40,5.0,80
event_2023_nuevo_laredo_military_shooting,2023 Nuevo Laredo military shooting,0.4722222222222222,0.4992277987669841,0.1388888888888889,0.0,0.0,36,Latin America,Latin America,Mexico,crime_legal,2023,2,21,1007,47.95,162,3.5,123
event_2023_shandong_high_altitude_object,2023 Shandong high-altitude object,0.4166666666666667,0.4930066485916347,0.19444444444444445,0.0,0.0,36,East Asia,East Asia,China,other,2023,2,11037,23819,2.16,3,12.3,194
event_2022_kech_district_attack,2022 Kech District attack,0.4166666666666667,0.4930066485916347,0.1111111111111111,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,conflict_terrorism,2022,1,293,7831,26.73,49,16.3,182
event_prima_v_kpu,PRIMA v. KPU,0.4166666666666667,0.4930066485916347,0.2222222222222222,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Indonesia,politics_elections,2023,3,668,2303,3.45,3,4.3,153
event_2023_trabuco_canyon_shooting,2023 Trabuco Canyon shooting,0.3888888888888889,0.4874980215217846,0.2777777777777778,0.0,0.0,36,Anglo-America & Oceania,North America,United States,crime_legal,2023,8,6115,49967,8.17,15,35.0,45
event_july_2023_tel_aviv_attack,July 2023 Tel Aviv attack,0.3611111111111111,0.48032267960529396,0.2222222222222222,0.0,0.0,36,Middle East & Africa,Middle East & North Africa,Israel,conflict_terrorism,2023,7,1584,11026,6.96,9,9.1,42
event_2023_jaipur_express_killings,2023 Jaipur Express killings,0.3611111111111111,0.48032267960529396,0.25,0.0,0.0,36,South & Southeast Asia,South Asia,India,crime_legal,2023,7,215,8490,39.49,145,33.6,73
event_2023_wamena_riot,2023 Wamena riot,0.3611111111111111,0.48032267960529396,0.16666666666666666,0.0,0.0,36,South & Southeast Asia,Southeast Asia,Indonesia,civil_unrest,2023,2,771,4546,5.9,6,6.3,62
event_2023_acc_under_19_asia_cup,2023 ACC Under-19 Asia Cup,0.32432432432432434,0.4681218398834804,0.02702702702702703,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,United Arab Emirates,sports,2023,12,30767,244808,7.96,15,116.4,108
event_2023_demise_honours,2023 Demise Honours,0.2777777777777778,0.44790320823880836,0.5277777777777778,0.0,0.0,36,Western Europe,Western Europe,United Kingdom,royalty_ceremony,2023,3,9986,30155,3.02,3,33.1,71
event_2023_astore_avalanche,2023 Astore avalanche,0.2222222222222222,0.41573970964154905,0.3611111111111111,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,natural_disaster,2023,5,634,2035,3.21,4,1.3,59
event_2021_kilmarnock_incidents,2021 Kilmarnock incidents,0.19444444444444445,0.39577241246597245,0.4444444444444444,0.0,0.0,36,Western Europe,Western Europe,United Kingdom,crime_legal,2021,2,1172,5250,4.48,3,7.3,195
