id,title,namerank,nr_std,refusal_rate,mean_cov,mean_acc,n_models,region_group,region,country,category,start_year,start_month,peak_views,total_views,eff_duration,days_above_10,tail_daily,gold_words
event_2021_east_asia_sandstorm,2021 East Asia sandstorm,0.9722222222222222,0.16433554953054486,0.027777777777777776,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2021,3,629,5215,8.29,7,20.2,59
event_2021_hong_kong_election_committee_subsector_elections,2021 Hong Kong Election Committee Subsector elections,0.9722222222222222,0.16433554953054486,0.0,0.0,0.0,36,East Asia,East Asia,China,politics_elections,2021,9,2344,20790,8.87,17,7.3,180
event_2021_sudanese_coup_d_tat,2021 Sudanese coup d'état,0.9722222222222222,0.16433554953054486,0.0,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Sudan,politics_elections,2021,10,695,2132,3.07,5,0.6,198
event_2022_malaysian_general_election,2022 Malaysian general election,0.9459459459459459,0.22612433149569605,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,Southeast Asia,Malaysia,politics_elections,2022,11,270539,1306837,4.83,6,399.7,198
event_platinum_jubilee_of_elizabeth_ii,Platinum Jubilee of Elizabeth II,0.9459459459459459,0.22612433149569605,0.02702702702702703,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,royalty_ceremony,2022,2,76776,1132183,14.75,27,600.2,194
event_2023_chinese_balloon_incident,2023 Chinese balloon incident,0.9459459459459459,0.22612433149569605,0.02702702702702703,0.0,0.0,37,Anglo-America & Oceania,North America,United States,conflict_terrorism,2023,1,47416,534637,11.28,13,874.1,197
event_2023_united_nations_climate_change_conference,2023 United Nations Climate Change Conference,0.9459459459459459,0.22612433149569605,0.05405405405405406,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,United Arab Emirates,science_space,2023,11,25379,439742,17.33,28,340.0,167
event_2021_kabul_airport_attack,2021 Kabul airport attack,0.9459459459459459,0.22612433149569605,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,South Asia,Afghanistan,conflict_terrorism,2021,8,64983,378246,5.82,13,217.5,161
event_2021_22_major_league_baseball_lockout,2021–22 Major League Baseball lockout,0.9459459459459459,0.22612433149569605,0.02702702702702703,0.0,0.0,37,Anglo-America & Oceania,North America,United States,business_tech,2021,12,12039,233073,19.36,53,92.9,194
event_2023_rugby_world_cup,2023 Rugby World Cup,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Western Europe,Western Europe,France,sports,2023,9,199005,4363377,21.93,54,1153.2,195
event_2021_canadian_federal_election,2021 Canadian federal election,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,Canada,politics_elections,2021,9,623058,3019295,4.85,4,2000.2,178
event_2021_nba_playoffs,2021 NBA playoffs,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,United States,sports,2021,5,37514,1456239,38.82,94,2718.2,195
