entity_id,entity_name,cohort,institution,NR_A,NR_B,delta,refusal_A,refusal_B
oa_author_tlin_ztrk,Tülin Öztürk,long_tail_researcher_openalex,Elazığ Eğitim ve Araştırma Hastanesi,0.3314,0.0032,-0.3282,0.297,0.27
mid_tier_filmmaker_ava_duvernay,Ava DuVernay,mid_tier_filmmaker,,0.8851,0.5595,-0.3256,0.0,0.0
imo_takuma_kitamura,Takuma Kitamura,imo_gold,,0.3551,0.0316,-0.3235,0.27,0.405
oa_author_roozbeh_mottaghi,Roozbeh Mottaghi,long_tail_researcher_openalex,Stanford University,0.3892,0.0689,-0.3203,0.243,0.054
mid_tier_filmmaker_ruben_stlund,Ruben Östlund,mid_tier_filmmaker,,0.9095,0.5892,-0.3203,0.0,0.0
imo_sung_jin_park,Sung Jin Park,imo_gold,,0.3349,0.0164,-0.3185,0.378,0.351
mid_tier_writer_sally_rooney,Sally Rooney,mid_tier_writer,,0.9568,0.6384,-0.3184,0.0,0.0
imo_aleksandr_kalmynin,Aleksandr Kalmynin,imo_gold,,0.3962,0.0789,-0.3173,0.297,0.27
imo_mitchell_lee,Mitchell Lee,imo_gold,,0.4103,0.0932,-0.3171,0.162,0.216
mid_tier_filmmaker_bruno_dumont,Bruno Dumont,mid_tier_filmmaker,,0.7073,0.3919,-0.3154,0.0,0.0
msra_yongxin_tong_2012,Yongxin Tong,msra_phd_fellowship,,0.3546,0.04,-0.3146,0.243,0.27
artifact_meta_ai_research,Meta AI Research,ai_startup_or_company,,0.713,0.3995,-0.3135,0.0,0.027
msra_dongzhe_ma_2011,Dongzhe Ma,msra_phd_fellowship,,0.3135,0.0003,-0.3132,0.351,0.405
mid_tier_writer_tamsyn_muir,Tamsyn Muir,mid_tier_writer,,0.8538,0.5432,-0.3106,0.0,0.0
msra_qitian_wu_2021,Qitian Wu,msra_phd_fellowship,,0.3827,0.0746,-0.3081,0.243,0.243
artifact_eagle,EAGLE,oss_project,,0.4351,0.127,-0.3081,0.054,0.108
msra_li_chen_2016,Li Chen,msra_phd_fellowship,,0.3076,0.0,-0.3076,0.324,0.432
artifact_genspark,GenSpark,ai_startup_or_company,,0.4324,0.127,-0.3054,0.189,0.108
mid_tier_filmmaker_denis_villeneuve,Denis Villeneuve,mid_tier_filmmaker,,0.9122,0.607,-0.3052,0.0,0.0
mid_tier_writer_bora_chung,Bora Chung,mid_tier_writer,,0.8054,0.5014,-0.304,0.027,0.027
msra_luwei_cheng_2013,Luwei Cheng,msra_phd_fellowship,,0.3157,0.0122,-0.3035,0.27,0.378
mid_tier_writer_daniel_h__pink,Daniel H. Pink,mid_tier_writer,,0.9349,0.6316,-0.3033,0.0,0.0
imo_yuxuan_liao,Yuxuan Liao,imo_gold,,0.3203,0.0186,-0.3017,0.324,0.405
mid_tier_writer_shelley_parker_chan,Shelley Parker-Chan,mid_tier_writer,,0.7746,0.4738,-0.3008,0.0,0.054
oa_author_carlijn_j__m__wibbelink,Carlijn J. M. Wibbelink,long_tail_researcher_openalex,University of Amsterdam,0.3716,0.0714,-0.3002,0.324,0.189
imo_kazuhiro_hosaka,Kazuhiro Hosaka,imo_gold,,0.3368,0.037,-0.2998,0.351,0.378
msra_jing_yuan_2011,Jing Yuan,msra_phd_fellowship,,0.2968,0.0,-0.2968,0.351,0.405
mid_tier_filmmaker_carla_simn,Carla Simón,mid_tier_filmmaker,,0.8414,0.5457,-0.2957,0.0,0.0
