entity_id,entity_name,cohort,institution,NR_A,NR_B,delta,refusal_A,refusal_B
artifact_statsmodels,statsmodels,oss_project,,0.6432,0.5243,-0.1189,0.0,0.0
csrankings_yuqing_kong,Yuqing Kong,cs_faculty,Peking University,0.337,0.2205,-0.1165,0.243,0.135
mid_tier_politician_kyrsten_sinema,Kyrsten Sinema,mid_tier_politician,,0.3389,0.2255,-0.1134,0.0,0.0
mid_tier_politician_narendra_modi,Narendra Modi,mid_tier_politician,,0.2916,0.18,-0.1116,0.0,0.0
artifact_pytorch,PyTorch,oss_project,,0.3432,0.2324,-0.1108,0.0,0.0
csrankings_jeremy_z__kolter,Jeremy Z. Kolter,cs_faculty,Carnegie Mellon University,0.4886,0.3784,-0.1102,0.189,0.054
csrankings_yi_ming_li,Yi-Ming Li,cs_faculty,Tsinghua University,0.153,0.0435,-0.1095,0.486,0.27
csrankings_shanghang_zhang,Shanghang Zhang,cs_faculty,Peking University,0.3316,0.2223,-0.1093,0.27,0.108
artifact_clicknp,ClickNP,oss_project,,0.2524,0.1476,-0.1048,0.135,0.243
artifact_whisper,Whisper,oss_project,,0.337,0.2324,-0.1046,0.027,0.027
mid_tier_politician_josh_hawley,Josh Hawley,mid_tier_politician,,0.3949,0.2914,-0.1035,0.0,0.0
mid_tier_politician_ilhan_omar,Ilhan Omar,mid_tier_politician,,0.34,0.2381,-0.1019,0.0,0.0
mid_tier_politician_adam_schiff,Adam Schiff,mid_tier_politician,,0.3727,0.2716,-0.1011,0.0,0.0
mid_tier_writer_march_novel,March (novel),mid_tier_writer,,0.1005,0.0,-0.1005,0.054,0.081
mid_tier_politician_pierre_poilievre,Pierre Poilievre,mid_tier_politician,,0.3332,0.2338,-0.0994,0.0,0.0
mid_tier_politician_lee_jae_myung,Lee Jae-myung,mid_tier_politician,,0.3424,0.2438,-0.0986,0.0,0.0
mid_tier_politician_robert_habeck,Robert Habeck,mid_tier_politician,,0.3705,0.2722,-0.0983,0.0,0.0
mid_tier_politician_joe_manchin,Joe Manchin,mid_tier_politician,,0.3735,0.2781,-0.0954,0.0,0.0
mid_tier_politician_mark_warner,Mark Warner,mid_tier_politician,,0.4378,0.3443,-0.0935,0.0,0.0
artifact_q_lora,Q-LoRA,oss_project,,0.2746,0.1814,-0.0932,0.054,0.054
artifact_ollama,Ollama,oss_project,,0.2153,0.1265,-0.0888,0.027,0.027
mid_tier_politician_gideon_saar,Gideon Saar,mid_tier_politician,,0.3619,0.2746,-0.0873,0.0,0.027
mid_tier_politician_annalena_baerbock,Annalena Baerbock,mid_tier_politician,,0.2572,0.1707,-0.0865,0.0,0.0
mid_tier_politician_ayanna_pressley,Ayanna Pressley,mid_tier_politician,,0.3143,0.2292,-0.0851,0.027,0.0
mid_tier_politician_friedrich_merz,Friedrich Merz,mid_tier_politician,,0.325,0.2416,-0.0834,0.0,0.0
mid_tier_politician_tim_kaine,Tim Kaine,mid_tier_politician,,0.3001,0.223,-0.0771,0.0,0.0
csrankings_joel_mcmanus,Joel McManus,cs_faculty,Carnegie Mellon University,0.0846,0.0076,-0.077,0.514,0.459
mid_tier_politician_cori_bush,Cori Bush,mid_tier_politician,,0.3722,0.2959,-0.0763,0.0,0.0
csrankings_christian_cuba_samaniego,Christian Cuba Samaniego,cs_faculty,Carnegie Mellon University,0.1078,0.0324,-0.0754,0.568,0.378
oa_author_isabelle_lajoie,Isabelle Lajoie,long_tail_researcher_openalex,,0.0649,0.0041,-0.0608,0.649,0.162
mid_tier_politician_gabriel_attal,Gabriel Attal,mid_tier_politician,,0.2768,0.2162,-0.0606,0.027,0.0
mid_tier_politician_ron_desantis,Ron DeSantis,mid_tier_politician,,0.2722,0.2141,-0.0581,0.0,0.0
mid_tier_writer_everything_is_illuminated,Everything Is Illuminated,mid_tier_writer,,0.0559,0.0,-0.0559,0.108,0.054
artifact_rocm,ROCm,oss_project,,0.3332,0.2784,-0.0548,0.0,0.0
artifact_ray_serve,Ray Serve,oss_project,,0.4608,0.4146,-0.0462,0.0,0.0
artifact_onnx_runtime,ONNX Runtime,oss_project,,0.5027,0.4595,-0.0432,0.0,0.0
mid_tier_writer_laura_abbot,Laura Abbot,mid_tier_writer,,0.1676,0.1254,-0.0422,0.459,0.189
mid_tier_writer_kinflicks,Kinflicks,mid_tier_writer,,0.0419,0.0016,-0.0403,0.324,0.297
mid_tier_politician_cory_booker,Cory Booker,mid_tier_politician,,0.3058,0.2715,-0.0343,0.0,0.0
mid_tier_writer_emma_scarr_booth,Emma Scarr Booth,mid_tier_writer,,0.0997,0.0695,-0.0302,0.541,0.324
oa_author_thiago_augusto_vieira,Thiago Augusto Vieira,long_tail_researcher_openalex,Massachusetts Institute of Technology,0.0259,0.0,-0.0259,0.595,0.378
bojie_li,Bojie Li,reference_pilot,,0.0901,0.0681,-0.022,0.351,0.243
artifact_cub,CUB,oss_project,,0.42,0.4057,-0.0143,0.0,0.027
mid_tier_writer_camp_concentration,Camp Concentration,mid_tier_writer,,0.0134,0.0014,-0.012,0.216,0.189
mid_tier_writer_harriet_the_spy,Harriet the Spy,mid_tier_writer,,0.02,0.0108,-0.0092,0.324,0.054
mid_tier_politician_j_d__vance,J.D. Vance,mid_tier_politician,,0.2222,0.2151,-0.0071,0.081,0.0
artifact_colbert_v2,ColBERT-v2,oss_project,,0.2357,0.2551,0.0194,0.0,0.0
artifact_crew_ai_company,Crew AI (company),ai_startup_or_company,,0.4095,0.4473,0.0378,0.162,0.0
artifact_llama_stack,Llama-Stack,oss_project,,0.3219,0.3976,0.0757,0.189,0.054
