entity_id,entity_name,cohort,western_mean,chinese_mean,delta_chinese_minus_western,abs_delta
ds_yuchen_zhu,Yuchen Zhu,deepseek_v3_author,0.21,0.1429,-0.0671,0.0671
ds_yuheng_zou,Yuheng Zou,deepseek_v3_author,0.1539,0.0714,-0.0825,0.0825
ds_yunfan_xiong,Yunfan Xiong,deepseek_v3_author,0.3309,0.1543,-0.1766,0.1766
ds_yuxiang_luo,Yuxiang Luo,deepseek_v3_author,0.1152,0.1757,0.0605,0.0605
ds_yuyang_zhou,Yuyang Zhou,deepseek_v3_author,0.2439,0.1286,-0.1153,0.1153
ds_zehui_ren,Zehui Ren,deepseek_v3_author,0.2576,0.1807,-0.0769,0.0769
ds_zhean_xu,Zhean Xu,deepseek_v3_author,0.1587,0.0786,-0.0801,0.0801
ds_zhenda_xie,Zhenda Xie,deepseek_v3_author,0.2278,0.2614,0.0336,0.0336
ds_zhibin_gou,Zhibin Gou,deepseek_v3_author,0.1635,0.2071,0.0437,0.0437
ds_zhihong_shao,Zhihong Shao,deepseek_v3_author,0.2322,0.3157,0.0835,0.0835
ds_zhongyu_zhang,Zhongyu Zhang,deepseek_v3_author,0.19,0.0857,-0.1043,0.1043
ds_zijia_zhu,Zijia Zhu,deepseek_v3_author,0.1087,0.0929,-0.0158,0.0158
ds_ziwei_xie,Ziwei Xie,deepseek_v3_author,0.2009,0.1179,-0.083,0.083
ds_zizheng_pan,Zizheng Pan,deepseek_v3_author,0.1539,0.0571,-0.0968,0.0968
artifact_attention_is_all_you_need,Attention Is All You Need,research_paper,0.725,0.7571,0.0321,0.0321
artifact_bert_paper,BERT paper,research_paper,0.7861,0.75,-0.0361,0.0361
artifact_gpt_2_paper,GPT-2 paper,research_paper,0.6178,0.635,0.0172,0.0172
artifact_gpt_3_paper,GPT-3 paper,research_paper,0.5826,0.6729,0.0902,0.0902
artifact_gpt_4_technical_report,GPT-4 Technical Report,research_paper,0.5122,0.5993,0.0871,0.0871
artifact_instructgpt_paper,InstructGPT paper,research_paper,0.6839,0.85,0.1661,0.1661
artifact_constitutional_ai_paper,Constitutional AI paper,research_paper,0.5843,0.6964,0.1121,0.1121
artifact_chinchilla_paper,Chinchilla paper,research_paper,0.6424,0.7607,0.1183,0.1183
artifact_scaling_laws_for_neural_language_models,Scaling Laws for Neural Language Models,research_paper,0.737,0.8214,0.0845,0.0845
artifact_emergent_abilities_of_large_language_models,Emergent Abilities of Large Language Models,research_paper,0.53,0.7,0.17,0.17
artifact_chain_of_thought_prompting_paper,Chain-of-Thought Prompting paper,research_paper,0.5304,0.75,0.2196,0.2196
artifact_react_paper,ReAct paper,research_paper,0.5843,0.6714,0.0871,0.0871
artifact_toolformer_paper,Toolformer paper,research_paper,0.613,0.725,0.112,0.112
artifact_tree_of_thoughts_paper,Tree of Thoughts paper,research_paper,0.643,0.7,0.057,0.057
artifact_self_consistency_paper,Self-Consistency paper,research_paper,0.5865,0.7357,0.1492,0.1492
artifact_self_refine_paper,Self-Refine paper,research_paper,0.6087,0.8357,0.227,0.227
artifact_reflexion_paper,Reflexion paper,research_paper,0.4691,0.6071,0.138,0.138
artifact_generative_agents_paper,Generative Agents paper,research_paper,0.6278,0.7629,0.135,0.135
artifact_voyager_paper,Voyager paper,research_paper,0.5387,0.7357,0.197,0.197
artifact_mamba_paper,Mamba paper,research_paper,0.4902,0.6857,0.1955,0.1955
artifact_flashattention_paper,FlashAttention paper,research_paper,0.5783,0.7929,0.2146,0.2146
artifact_flashattention_2_paper,FlashAttention-2 paper,research_paper,0.5843,0.7893,0.2049,0.2049
artifact_flashattention_3_paper,FlashAttention-3 paper,research_paper,0.3783,0.3757,-0.0025,0.0025
artifact_rwkv_paper,RWKV paper,research_paper,0.7013,0.7964,0.0951,0.0951
artifact_hyena_paper,Hyena paper,research_paper,0.513,0.7893,0.2762,0.2762
artifact_s4_paper,S4 paper,research_paper,0.6339,0.6593,0.0254,0.0254
artifact_sparse_transformer_paper,Sparse Transformer paper,research_paper,0.57,0.695,0.125,0.125
artifact_reformer_paper,Reformer paper,research_paper,0.6422,0.7643,0.1221,0.1221
artifact_longformer_paper,Longformer paper,research_paper,0.5657,0.6679,0.1022,0.1022
artifact_bigbird_paper,BigBird paper,research_paper,0.5817,0.7071,0.1254,0.1254
artifact_switch_transformer_paper,Switch Transformer paper,research_paper,0.6178,0.6786,0.0607,0.0607
artifact_gshard_paper,GShard paper,research_paper,0.817,0.78,-0.037,0.037
artifact_llama_paper,LLaMA paper,research_paper,0.673,0.6829,0.0098,0.0098
artifact_llama_2_paper,LLaMA 2 paper,research_paper,0.5226,0.6757,0.1531,0.1531
artifact_llama_3_paper,LLaMA 3 paper,research_paper,0.3413,0.3914,0.0501,0.0501
artifact_qwen_paper,Qwen paper,research_paper,0.5043,0.7214,0.2171,0.2171
artifact_qwen2_paper,Qwen2 paper,research_paper,0.4739,0.5286,0.0547,0.0547
artifact_deepseek_v2_paper,DeepSeek-V2 paper,research_paper,0.3926,0.4214,0.0288,0.0288
artifact_deepseek_v3_paper,DeepSeek-V3 paper,research_paper,0.3713,0.3286,-0.0427,0.0427
artifact_deepseek_r1_paper,DeepSeek-R1 paper,research_paper,0.2687,0.3429,0.0742,0.0742
artifact_deepseek_coder_paper,DeepSeek-Coder paper,research_paper,0.4157,0.4986,0.0829,0.0829
artifact_mistral_7b_paper,Mistral 7B paper,research_paper,0.4361,0.5814,0.1453,0.1453
artifact_mixtral_paper,Mixtral paper,research_paper,0.5326,0.6386,0.106,0.106
artifact_phi_3_paper,Phi-3 paper,research_paper,0.4791,0.5586,0.0794,0.0794
artifact_phi_2_paper,Phi-2 paper,research_paper,0.423,0.575,0.152,0.152
artifact_gemma_paper,Gemma paper,research_paper,0.4909,0.54,0.0491,0.0491
artifact_olmo_paper,OLMo paper,research_paper,0.4726,0.6686,0.196,0.196
artifact_falcon_paper,Falcon paper,research_paper,0.5843,0.7,0.1157,0.1157
artifact_yi_paper,Yi paper,research_paper,0.3526,0.3571,0.0045,0.0045
artifact_chatglm_paper,ChatGLM paper,research_paper,0.7004,0.6886,-0.0119,0.0119
artifact_baichuan_paper,Baichuan paper,research_paper,0.3078,0.4429,0.135,0.135
artifact_internlm_paper,InternLM paper,research_paper,0.5,0.4571,-0.0429,0.0429
artifact_dpo_paper,DPO paper,research_paper,0.4913,0.65,0.1587,0.1587
artifact_ppo_paper,PPO paper,research_paper,0.6878,0.6,-0.0878,0.0878
artifact_trpo_paper,TRPO paper,research_paper,0.6617,0.7571,0.0954,0.0954
artifact_rlhf_paper,RLHF paper,research_paper,0.6296,0.7464,0.1169,0.1169
artifact_sparrow_paper,Sparrow paper,research_paper,0.6309,0.7071,0.0763,0.0763
artifact_helpful_and_harmless_paper,Helpful and Harmless paper,research_paper,0.5765,0.6143,0.0378,0.0378
artifact_red_teaming_language_models_paper,Red Teaming Language Models paper,research_paper,0.6043,0.6871,0.0828,0.0828
artifact_clip_paper,CLIP paper,research_paper,0.7478,0.7857,0.0379,0.0379
artifact_dall_e_paper,DALL-E paper,research_paper,0.6135,0.7,0.0865,0.0865
artifact_dall_e_2_paper,DALL-E 2 paper,research_paper,0.5835,0.7657,0.1822,0.1822
artifact_dall_e_3_paper,DALL-E 3 paper,research_paper,0.4065,0.5236,0.117,0.117
artifact_imagen_paper,Imagen paper,research_paper,0.5522,0.65,0.0978,0.0978
artifact_stable_diffusion_paper,Stable Diffusion paper,research_paper,0.6526,0.755,0.1024,0.1024
artifact_sora_paper,Sora paper,research_paper,0.4261,0.5571,0.1311,0.1311
artifact_veo_paper,Veo paper,research_paper,0.3383,0.2821,-0.0561,0.0561
artifact_vision_transformer_paper,Vision Transformer paper,research_paper,0.7348,0.7214,-0.0134,0.0134
artifact_detr_paper,DETR paper,research_paper,0.7448,0.7714,0.0266,0.0266
artifact_mask_r_cnn_paper,Mask R-CNN paper,research_paper,0.7191,0.7821,0.063,0.063
artifact_faster_r_cnn_paper,Faster R-CNN paper,research_paper,0.7226,0.7429,0.0202,0.0202
artifact_yolo_paper,YOLO paper,research_paper,0.6922,0.65,-0.0422,0.0422
artifact_u_net_paper,U-Net paper,research_paper,0.7239,0.85,0.1261,0.1261
artifact_resnet_paper,ResNet paper,research_paper,0.7643,0.7786,0.0142,0.0142
artifact_alexnet_paper,AlexNet paper,research_paper,0.81,0.8429,0.0329,0.0329
artifact_vgg_paper,VGG paper,research_paper,0.7439,0.7464,0.0025,0.0025
artifact_inception_paper,Inception paper,research_paper,0.567,0.6157,0.0488,0.0488
artifact_googlenet_paper,GoogLeNet paper,research_paper,0.6696,0.6821,0.0126,0.0126
artifact_efficientnet_paper,EfficientNet paper,research_paper,0.6243,0.6679,0.0435,0.0435
artifact_mobilenet_paper,MobileNet paper,research_paper,0.6174,0.7029,0.0855,0.0855
artifact_swin_transformer_paper,Swin Transformer paper,research_paper,0.7152,0.7707,0.0555,0.0555
artifact_gan_paper,GAN paper,research_paper,0.6213,0.6214,0.0001,0.0001
artifact_dcgan_paper,DCGAN paper,research_paper,0.7778,0.775,-0.0028,0.0028
artifact_stylegan_paper,StyleGAN paper,research_paper,0.7409,0.7679,0.027,0.027
artifact_stylegan2_paper,StyleGAN2 paper,research_paper,0.7496,0.7157,-0.0339,0.0339
artifact_biggan_paper,BigGAN paper,research_paper,0.7113,0.7393,0.028,0.028
artifact_vae_paper,VAE paper,research_paper,0.697,0.6714,-0.0255,0.0255
artifact_ddpm_paper,DDPM paper,research_paper,0.693,0.7171,0.0241,0.0241
artifact_score_based_generative_models_paper,Score-based Generative Models paper,research_paper,0.6961,0.8107,0.1146,0.1146
artifact_word2vec_paper,Word2Vec paper,research_paper,0.66,0.6314,-0.0286,0.0286
artifact_glove_paper,GloVe paper,research_paper,0.6583,0.7571,0.0989,0.0989
artifact_seq2seq_paper,Seq2Seq paper,research_paper,0.7874,0.9321,0.1448,0.1448
artifact_neural_machine_translation_paper,Neural Machine Translation paper,research_paper,0.6261,0.6571,0.0311,0.0311
artifact_attention_paper_bahdanau,Attention paper (Bahdanau),research_paper,0.6774,0.7214,0.044,0.044
artifact_elmo_paper,ELMo paper,research_paper,0.6857,0.7071,0.0215,0.0215
artifact_ulmfit_paper,ULMFiT paper,research_paper,0.7383,0.8357,0.0975,0.0975
artifact_transformer_xl_paper,Transformer-XL paper,research_paper,0.6291,0.715,0.0859,0.0859
artifact_xlnet_paper,XLNet paper,research_paper,0.7557,0.7679,0.0122,0.0122
artifact_roberta_paper,RoBERTa paper,research_paper,0.5852,0.6171,0.0319,0.0319
artifact_albert_paper,ALBERT paper,research_paper,0.7996,0.7471,-0.0524,0.0524
artifact_electra_paper,ELECTRA paper,research_paper,0.7696,0.8179,0.0483,0.0483
artifact_t5_paper,T5 paper,research_paper,0.6626,0.6914,0.0288,0.0288
artifact_bart_paper,BART paper,research_paper,0.5439,0.625,0.0811,0.0811
artifact_adam_paper,Adam paper,research_paper,0.6057,0.7143,0.1086,0.1086
artifact_dropout_paper,Dropout paper,research_paper,0.7017,0.7429,0.0411,0.0411
artifact_batch_normalization_paper,Batch Normalization paper,research_paper,0.6717,0.7571,0.0854,0.0854
artifact_layer_normalization_paper,Layer Normalization paper,research_paper,0.6296,0.7286,0.099,0.099
artifact_backpropagation_paper,Backpropagation paper,research_paper,0.6752,0.7143,0.0391,0.0391
artifact_lstm_paper,LSTM paper,research_paper,0.6822,0.7179,0.0357,0.0357
artifact_gru_paper,GRU paper,research_paper,0.6248,0.6857,0.0609,0.0609
artifact_dqn_paper,DQN paper,research_paper,0.7226,0.7786,0.056,0.056
artifact_alphago_paper,AlphaGo paper,research_paper,0.6796,0.7071,0.0276,0.0276
artifact_alphago_zero_paper,AlphaGo Zero paper,research_paper,0.6426,0.7214,0.0788,0.0788
artifact_alphazero_paper,AlphaZero paper,research_paper,0.6691,0.7143,0.0452,0.0452
artifact_muzero_paper,MuZero paper,research_paper,0.6657,0.7357,0.0701,0.0701
artifact_openai_five_paper,OpenAI Five paper,research_paper,0.6137,0.7721,0.1584,0.1584
artifact_alphastar_paper,AlphaStar paper,research_paper,0.6365,0.7257,0.0892,0.0892
artifact_alphafold_paper,AlphaFold paper,research_paper,0.663,0.7,0.037,0.037
artifact_alphafold_3_paper,AlphaFold 3 paper,research_paper,0.4522,0.5714,0.1193,0.1193
artifact_decision_transformer_paper,Decision Transformer paper,research_paper,0.637,0.7464,0.1095,0.1095
artifact_atari_paper_dqn,Atari paper (DQN),research_paper,0.7396,0.8929,0.1533,0.1533
artifact_pagerank_paper,PageRank paper,research_paper,0.6474,0.7036,0.0562,0.0562
artifact_colbert_paper,ColBERT paper,research_paper,0.5878,0.6814,0.0936,0.0936
artifact_dpr_paper,DPR paper,research_paper,0.6283,0.6429,0.0146,0.0146
artifact_rag_paper,RAG paper,research_paper,0.68,0.7214,0.0414,0.0414
artifact_fid_paper,FiD paper,research_paper,0.7078,0.64,-0.0678,0.0678
artifact_universal_approximation_theorem,Universal Approximation Theorem,research_paper,0.5674,0.6071,0.0398,0.0398
artifact_convolutional_networks_paper,Convolutional Networks paper,research_paper,0.5987,0.6643,0.0656,0.0656
artifact_hopfield_network_paper,Hopfield Network paper,research_paper,0.6752,0.7607,0.0855,0.0855
artifact_wavenet_paper,WaveNet paper,research_paper,0.7278,0.8214,0.0936,0.0936
artifact_tacotron_paper,Tacotron paper,research_paper,0.6065,0.6443,0.0378,0.0378
artifact_whisper_paper,Whisper paper,research_paper,0.51,0.6386,0.1286,0.1286
artifact_codex_paper,Codex paper,research_paper,0.6017,0.6507,0.049,0.049
artifact_alphacode_paper,AlphaCode paper,research_paper,0.6896,0.7143,0.0247,0.0247
artifact_codet5_paper,CodeT5 paper,research_paper,0.6717,0.8,0.1283,0.1283
artifact_starcoder_paper,StarCoder paper,research_paper,0.5226,0.5429,0.0202,0.0202
artifact_pathways_paper,Pathways paper,research_paper,0.6409,0.7071,0.0663,0.0663
artifact_megatron_paper,Megatron paper,research_paper,0.4491,0.5243,0.0752,0.0752
artifact_deepspeed_inference_paper,DeepSpeed-Inference paper,research_paper,0.687,0.8286,0.1416,0.1416
artifact_zero_paper,ZeRO paper,research_paper,0.6061,0.7143,0.1082,0.1082
artifact_pipedream_paper,Pipedream paper,research_paper,0.7035,0.675,-0.0285,0.0285
artifact_pagedattention_paper,PagedAttention paper,research_paper,0.6574,0.8214,0.164,0.164
artifact_ikp_paper,IKP paper,research_paper,0.0513,0.0,-0.0513,0.0513
artifact_kv_direct_paper,KV-Direct paper,research_paper,0.7096,0.7521,0.0426,0.0426
artifact_clicknp_paper,ClickNP paper,research_paper,0.813,0.95,0.137,0.137
artifact_lottery_ticket_hypothesis_paper,Lottery Ticket Hypothesis paper,research_paper,0.7878,0.9,0.1122,0.1122
artifact_magnitude_pruning_paper,Magnitude Pruning paper,research_paper,0.6589,0.6457,-0.0132,0.0132
artifact_knowledge_distillation_paper,Knowledge Distillation paper,research_paper,0.7865,0.75,-0.0365,0.0365
artifact_lora_paper,LoRA paper,research_paper,0.6313,0.75,0.1187,0.1187
artifact_q_lora_paper,Q-LoRA paper,research_paper,0.6565,0.7786,0.122,0.122
artifact_adapter_paper,Adapter paper,research_paper,0.6861,0.8136,0.1275,0.1275
artifact_prefix_tuning_paper,Prefix Tuning paper,research_paper,0.8057,0.7229,-0.0828,0.0828
artifact_prompt_tuning_paper,Prompt Tuning paper,research_paper,0.6487,0.6571,0.0084,0.0084
artifact_gptq_paper,GPTQ paper,research_paper,0.7543,0.7929,0.0385,0.0385
artifact_awq_paper,AWQ paper,research_paper,0.6948,0.8214,0.1266,0.1266
artifact_llm_int8_paper,LLM.int8() paper,research_paper,0.6861,0.7714,0.0853,0.0853
artifact_webgpt_paper,WebGPT paper,research_paper,0.6409,0.7929,0.152,0.152
artifact_autogpt_paper,AutoGPT paper,research_paper,0.5076,0.6964,0.1888,0.1888
artifact_babyagi,Babyagi,research_paper,0.5657,0.83,0.2643,0.2643
artifact_mmlu_paper,MMLU paper,research_paper,0.5526,0.6457,0.0931,0.0931
artifact_gpqa_paper,GPQA paper,research_paper,0.4,0.4286,0.0286,0.0286
artifact_big_bench_paper,BIG-Bench paper,research_paper,0.4191,0.3821,-0.037,0.037
artifact_humaneval_paper,HumanEval paper,research_paper,0.7009,0.8786,0.1777,0.1777
artifact_math_paper,MATH paper,research_paper,0.6048,0.675,0.0702,0.0702
artifact_helm_paper,HELM paper,research_paper,0.5574,0.6357,0.0783,0.0783
artifact_foundation_models_paper,Foundation Models paper,research_paper,0.5717,0.7,0.1283,0.1283
artifact_stochastic_parrots_paper,Stochastic Parrots paper,research_paper,0.6187,0.7214,0.1027,0.1027
artifact_knuth_volume_1,Knuth Volume 1,research_paper,0.4448,0.4643,0.0195,0.0195
artifact_cormen_algorithms_textbook,Cormen Algorithms textbook,research_paper,0.4787,0.5286,0.0499,0.0499
artifact_sicp,SICP,research_paper,0.487,0.5,0.013,0.013
artifact_dragon_book,Dragon Book,research_paper,0.4865,0.5564,0.0699,0.0699
artifact_clrs_algorithms_book,CLRS algorithms book,research_paper,0.3987,0.4071,0.0084,0.0084
artifact_megablocks_paper,Megablocks paper,research_paper,0.5004,0.55,0.0496,0.0496
artifact_stable_video_diffusion_paper,Stable Video Diffusion paper,research_paper,0.5365,0.4821,-0.0544,0.0544
artifact_make_a_video_paper,Make-A-Video paper,research_paper,0.67,0.8268,0.1568,0.1568
artifact_smoothquant_paper,SmoothQuant paper,research_paper,0.7739,0.785,0.0111,0.0111
artifact_speculative_decoding_paper,Speculative Decoding paper,research_paper,0.5309,0.5736,0.0427,0.0427
artifact_medusa_paper,Medusa paper,research_paper,0.5687,0.7536,0.1849,0.1849
artifact_flamingo_paper,Flamingo paper,research_paper,0.7304,0.8286,0.0981,0.0981
artifact_llava_paper,LLaVA paper,research_paper,0.6026,0.7357,0.1331,0.1331
artifact_blip_2_paper,BLIP-2 paper,research_paper,0.6391,0.7379,0.0987,0.0987
artifact_toolllm_paper,ToolLLM paper,research_paper,0.5474,0.6214,0.074,0.074
artifact_gorilla_paper,Gorilla paper,research_paper,0.44,0.5929,0.1529,0.1529
artifact_constitutional_reinforcement_learning_paper,Constitutional Reinforcement Learning paper,research_paper,0.2274,0.1157,-0.1117,0.1117
artifact_speculative_decoding_deepmind_paper,Speculative Decoding (DeepMind) paper,research_paper,0.5817,0.7893,0.2075,0.2075
artifact_rotary_position_embedding_paper,Rotary Position Embedding paper,research_paper,0.505,0.5457,0.0407,0.0407
artifact_alibi_paper,ALiBi paper,research_paper,0.75,0.8,0.05,0.05
artifact_sparse_sinkhorn_attention_paper,Sparse Sinkhorn Attention paper,research_paper,0.6804,0.5893,-0.0911,0.0911
artifact_performer_paper,Performer paper,research_paper,0.7422,0.8464,0.1043,0.1043
artifact_linear_transformers_paper,Linear Transformers paper,research_paper,0.6265,0.6714,0.0449,0.0449
artifact_hyena_hierarchy_paper,Hyena Hierarchy paper,research_paper,0.4313,0.6571,0.2258,0.2258
artifact_retnet_paper,RetNet paper,research_paper,0.547,0.6857,0.1388,0.1388
artifact_mamba_2_paper,Mamba-2 paper,research_paper,0.5457,0.6214,0.0758,0.0758
artifact_jamba_paper,Jamba paper,research_paper,0.5609,0.6643,0.1034,0.1034
artifact_apple_intelligence_paper,Apple Intelligence paper,research_paper,0.2826,0.2429,-0.0398,0.0398
artifact_openai_o1_paper,OpenAI o1 paper,research_paper,0.2496,0.1564,-0.0931,0.0931
artifact_deepseek_moe_paper,DeepSeek-MoE paper,research_paper,0.4922,0.4714,-0.0207,0.0207
artifact_deepseek_vl_paper,DeepSeek-VL paper,research_paper,0.4848,0.4786,-0.0062,0.0062
artifact_deepseek_math_paper,DeepSeek-Math paper,research_paper,0.4609,0.4393,-0.0216,0.0216
artifact_deepseekmoe_paper,DeepSeekMoE paper,research_paper,0.5043,0.6286,0.1242,0.1242
artifact_kto_paper,KTO paper,research_paper,0.447,0.4357,-0.0112,0.0112
artifact_keras,Keras,oss_project,0.4826,0.55,0.0674,0.0674
artifact_scikit_learn,scikit-learn,oss_project,0.4817,0.4786,-0.0032,0.0032
artifact_xgboost,XGBoost,oss_project,0.4252,0.4714,0.0462,0.0462
artifact_lightgbm,LightGBM,oss_project,0.5696,0.6357,0.0661,0.0661
artifact_catboost,CatBoost,oss_project,0.7,0.7357,0.0357,0.0357
artifact_pandas,Pandas,oss_project,0.4178,0.4571,0.0393,0.0393
artifact_numpy,NumPy,oss_project,0.3635,0.4143,0.0508,0.0508
artifact_scipy,SciPy,oss_project,0.2991,0.3786,0.0794,0.0794
artifact_pytorch_lightning,PyTorch Lightning,oss_project,0.4539,0.4214,-0.0325,0.0325
artifact_fastai,FastAI,oss_project,0.6452,0.6643,0.0191,0.0191
artifact_theano,Theano,oss_project,0.8717,0.9286,0.0568,0.0568
artifact_caffe,Caffe,oss_project,0.7696,0.8786,0.109,0.109
artifact_caffe2,Caffe2,oss_project,0.5957,0.65,0.0543,0.0543
artifact_mxnet,MXNet,oss_project,0.6283,0.7357,0.1075,0.1075
artifact_chainer,Chainer,oss_project,0.9339,0.95,0.0161,0.0161
artifact_cntk,CNTK,oss_project,0.7587,0.7643,0.0056,0.0056
artifact_paddlepaddle,PaddlePaddle,oss_project,0.5165,0.4857,-0.0308,0.0308
artifact_mindspore,MindSpore,oss_project,0.7,0.8021,0.1021,0.1021
artifact_jittor,Jittor,oss_project,0.7935,0.8821,0.0887,0.0887
artifact_oneflow,OneFlow,oss_project,0.5239,0.6057,0.0818,0.0818
artifact_megatron_deepspeed,Megatron-DeepSpeed,oss_project,0.4278,0.4714,0.0436,0.0436
artifact_colossalai,ColossalAI,oss_project,0.6304,0.6,-0.0304,0.0304
artifact_flexgen,FlexGen,oss_project,0.6335,0.6771,0.0437,0.0437
artifact_deepspeed_mii,DeepSpeed-MII,oss_project,0.5313,0.5864,0.0551,0.0551
artifact_tensorrt_llm,TensorRT-LLM,oss_project,0.467,0.5286,0.0616,0.0616
artifact_text_generation_inference,text-generation-inference,oss_project,0.5304,0.6429,0.1124,0.1124
artifact_lmdeploy,LMDeploy,oss_project,0.8804,0.6929,-0.1876,0.1876
artifact_optimum,Optimum,oss_project,0.4783,0.4214,-0.0568,0.0568
artifact_transformers_js,transformers.js,oss_project,0.5978,0.5571,-0.0407,0.0407
artifact_litserve,LitServe,oss_project,0.5665,0.6714,0.1049,0.1049
artifact_bentoml,BentoML,oss_project,0.4791,0.3957,-0.0834,0.0834
artifact_ray_serve,Ray Serve,oss_project,0.5283,0.35,-0.1783,0.1783
artifact_triton_inference_server,Triton Inference Server,oss_project,0.5239,0.5857,0.0618,0.0618
artifact_onnx,ONNX,oss_project,0.5261,0.4736,-0.0525,0.0525
artifact_onnx_runtime,ONNX Runtime,oss_project,0.513,0.4857,-0.0273,0.0273
artifact_tensorflow_lite,TensorFlow Lite,oss_project,0.4609,0.3643,-0.0966,0.0966
artifact_core_ml,Core ML,oss_project,0.3883,0.4071,0.0189,0.0189
artifact_mlx,MLX,oss_project,0.5417,0.5071,-0.0346,0.0346
artifact_numba,Numba,oss_project,0.3957,0.4071,0.0115,0.0115
artifact_cuda,CUDA,oss_project,0.5,0.4786,-0.0214,0.0214
artifact_rocm,ROCm,oss_project,0.2926,0.4,0.1074,0.1074
artifact_opencl,OpenCL,oss_project,0.3904,0.4286,0.0381,0.0381
artifact_cupy,CuPy,oss_project,0.5196,0.5643,0.0447,0.0447
artifact_cub,CUB,oss_project,0.3739,0.4957,0.1218,0.1218
artifact_thrust,Thrust,oss_project,0.5087,0.5643,0.0556,0.0556
artifact_apex,Apex,oss_project,0.473,0.4643,-0.0088,0.0088
artifact_flashinfer,FlashInfer,oss_project,0.5713,0.7714,0.2001,0.2001
artifact_bitsandbytes,BitsAndBytes,oss_project,0.7696,0.85,0.0804,0.0804
artifact_autogptq,AutoGPTQ,oss_project,0.6896,0.8057,0.1161,0.1161
artifact_eagle,EAGLE,oss_project,0.4174,0.4643,0.0469,0.0469
artifact_lmql,LMQL,oss_project,0.4326,0.5929,0.1602,0.1602
artifact_outlines,Outlines,oss_project,0.6809,0.5,-0.1809,0.1809
artifact_guidance,Guidance,oss_project,0.5348,0.6464,0.1116,0.1116
artifact_marvin,Marvin,oss_project,0.3791,0.35,-0.0291,0.0291
artifact_instructor,Instructor,oss_project,0.57,0.5393,-0.0307,0.0307
artifact_dspy,DSPy,oss_project,0.5774,0.6429,0.0655,0.0655
artifact_haystack,Haystack,oss_project,0.7717,0.6214,-0.1503,0.1503
artifact_rag_engine,RAG-engine,oss_project,0.0991,0.0786,-0.0206,0.0206
artifact_llamafile,Llamafile,oss_project,0.4917,0.6307,0.139,0.139
artifact_lm_studio,LM Studio,oss_project,0.4565,0.42,-0.0365,0.0365
artifact_text_generation_webui,text-generation-webui,oss_project,0.6548,0.7786,0.1238,0.1238
artifact_open_webui,Open WebUI,oss_project,0.5465,0.6643,0.1178,0.1178
artifact_comfyui,ComfyUI,oss_project,0.5648,0.6071,0.0424,0.0424
artifact_automatic1111,Automatic1111,oss_project,0.6157,0.6893,0.0736,0.0736
artifact_invokeai,InvokeAI,oss_project,0.6274,0.6143,-0.0131,0.0131
artifact_fooocus,Fooocus,oss_project,0.6991,0.6857,-0.0134,0.0134
artifact_spacy,Spacy,oss_project,0.483,0.4286,-0.0545,0.0545
artifact_nltk,NLTK,oss_project,0.5217,0.5714,0.0497,0.0497
artifact_stanford_corenlp,Stanford CoreNLP,oss_project,0.7043,0.7643,0.0599,0.0599
artifact_allennlp,AllenNLP,oss_project,0.5878,0.6714,0.0836,0.0836
artifact_fairseq,Fairseq,oss_project,0.6587,0.7014,0.0427,0.0427
artifact_opennmt,OpenNMT,oss_project,0.5491,0.5557,0.0066,0.0066
artifact_marian,Marian,oss_project,0.7187,0.7786,0.0599,0.0599
artifact_sockeye,Sockeye,oss_project,0.4861,0.4857,-0.0004,0.0004
artifact_polyglot,Polyglot,oss_project,0.5287,0.5786,0.0499,0.0499
artifact_fasttext,Fasttext,oss_project,0.7522,0.7071,-0.045,0.045
artifact_openspiel,OpenSpiel,oss_project,0.6165,0.5929,-0.0237,0.0237
artifact_gym,Gym,oss_project,0.5535,0.6571,0.1037,0.1037
artifact_gymnasium,Gymnasium,oss_project,0.4348,0.5029,0.0681,0.0681
artifact_stable_baselines3,Stable Baselines3,oss_project,0.5343,0.5636,0.0292,0.0292
artifact_rllib,RLlib,oss_project,0.5161,0.5429,0.0268,0.0268
artifact_magenta,MAGENTA,oss_project,0.5096,0.5807,0.0711,0.0711
artifact_gpt_3_5,GPT-3.5,foundation_model,0.683,0.655,-0.028,0.028
artifact_gpt_4o,GPT-4o,foundation_model,0.5326,0.6071,0.0745,0.0745
artifact_gpt_4_turbo,GPT-4 Turbo,foundation_model,0.58,0.6214,0.0414,0.0414
artifact_o1,o1,foundation_model,0.3517,0.3371,-0.0146,0.0146
artifact_o3,o3,foundation_model,0.2917,0.3571,0.0654,0.0654
artifact_o3_mini,o3-mini,foundation_model,0.2843,0.2429,-0.0415,0.0415
artifact_o4_mini,o4-mini,foundation_model,0.2083,0.0,-0.2083,0.2083
artifact_claude_1,Claude 1,foundation_model,0.4261,0.4714,0.0453,0.0453
artifact_claude_2,Claude 2,foundation_model,0.5952,0.6993,0.1041,0.1041
artifact_claude_3_opus,Claude 3 Opus,foundation_model,0.6022,0.7479,0.1457,0.1457
artifact_claude_3_sonnet,Claude 3 Sonnet,foundation_model,0.5583,0.6864,0.1282,0.1282
artifact_claude_3_haiku,Claude 3 Haiku,foundation_model,0.4874,0.55,0.0626,0.0626
artifact_claude_3_7_sonnet,Claude 3.7 Sonnet,foundation_model,0.1074,0.0,-0.1074,0.1074
artifact_gemini_1_0,Gemini 1.0,foundation_model,0.4543,0.55,0.0957,0.0957
