entity_id,entity_name,cohort,en_all,zh_all,delta_zh_minus_en,en_western,en_chinese,zh_western,zh_chinese,western_lang_lift,chinese_lang_lift
cmo_yi_dingdong_2009,Yi Dingdong (易鼎东),cmo_china_gold,0.154,0.171,0.016,0.183,0.107,0.162,0.186,-0.021,0.079
noi_tang_shizhi_2013,Tang Shizhi (唐适之),noi_china_gold,0.278,0.432,0.155,0.36,0.143,0.435,0.429,0.075,0.286
cpho_zhou_chen_2009,Zhou Chen (周琛),cpho_china_first_prize,0.263,0.179,-0.084,0.241,0.299,0.195,0.154,-0.046,-0.146
ds_shirong_ma,Shirong Ma,deepseek_v3_author,0.14,0.251,0.111,0.134,0.15,0.217,0.307,0.082,0.157
noi_pan_yuchao_2009,Pan Yuchao (潘宇超),noi_china_gold,0.368,0.442,0.075,0.448,0.236,0.46,0.414,0.012,0.179
cpho_wu_kailun_2009,Wu Kailun (吴凯伦),cpho_china_first_prize,0.16,0.17,0.01,0.205,0.086,0.178,0.157,-0.027,0.071
ds_chong_ruan,Chong Ruan,deepseek_v3_author,0.187,0.208,0.021,0.194,0.175,0.221,0.186,0.027,0.011
cmo_li_hongyi_2010,Li Hongyi (李弘毅),cmo_china_gold,0.342,0.357,0.014,0.283,0.439,0.378,0.322,0.094,-0.117
noi_li_kaiwei_2009,Li Kaiwei (李恺威),noi_china_gold,0.318,0.354,0.036,0.398,0.186,0.364,0.336,-0.034,0.15
ds_yu_wu,Yu Wu,deepseek_v3_author,0.225,0.269,0.044,0.25,0.184,0.322,0.183,0.072,-0.001
jiayi_weng,Jiayi Weng,reference_pilot,0.331,0.327,-0.004,0.352,0.296,0.35,0.289,-0.002,-0.007
cmo_jin_zhaorong_2010,Jin Zhaorong (靳兆融),cmo_china_gold,0.292,0.28,-0.012,0.325,0.239,0.285,0.271,-0.04,0.032
cmo_li_liying_2010,Li Liying (李立颖),cmo_china_gold,0.243,0.336,0.093,0.323,0.111,0.342,0.325,0.019,0.214
msra_dong_chen_2013,Dong Chen,msra_phd_fellowship,0.386,0.284,-0.102,0.404,0.357,0.357,0.164,-0.047,-0.193
noi_li_xiaoxiao_2009,Li Xiaoxiao (李晓潇),noi_china_gold,0.27,0.236,-0.035,0.291,0.236,0.297,0.136,0.005,-0.1
msra_yingwei_pan_2015,Yingwei Pan,msra_phd_fellowship,0.421,0.397,-0.024,0.43,0.407,0.391,0.407,-0.038,0.0
cpho_yu_yichao_2009,Yu Yichao (俞颐超),cpho_china_first_prize,0.393,0.425,0.032,0.437,0.321,0.423,0.429,-0.014,0.107
cmo_wang_haoyu_2012,Wang Haoyu (王昊宇),cmo_china_gold,0.262,0.434,0.172,0.313,0.179,0.447,0.414,0.134,0.236
cpho_sun_xiaohang_2009,Sun Xiaohang (孙骁航),cpho_china_first_prize,0.166,0.196,0.029,0.207,0.1,0.211,0.171,0.004,0.071
aj_ostrow,AJ Ostrow,reference_pilot,0.078,0.125,0.047,0.126,0.0,0.128,0.121,0.002,0.121
msra_qitian_wu_2021,Qitian Wu,msra_phd_fellowship,0.383,0.349,-0.033,0.411,0.336,0.345,0.357,-0.067,0.021
ds_yanping_huang,Yanping Huang,deepseek_v3_author,0.162,0.21,0.048,0.152,0.179,0.21,0.211,0.057,0.032
simon_willison,Simon Willison,reference_pilot,0.594,0.58,-0.014,0.568,0.636,0.55,0.629,-0.017,-0.007
cmo_zhang_tianyi_2012,Zhang Tianyi (张天翼),cmo_china_gold,0.522,0.448,-0.073,0.557,0.464,0.491,0.378,-0.065,-0.086
andrea_vallone,Andrea Vallone,reference_pilot,0.076,0.173,0.097,0.078,0.071,0.254,0.04,0.176,-0.031
msra_quan_fang_2013,Quan Fang,msra_phd_fellowship,0.307,0.289,-0.018,0.293,0.329,0.3,0.271,0.007,-0.057
ds_hanwei_xu,Hanwei Xu,deepseek_v3_author,0.172,0.296,0.124,0.216,0.1,0.339,0.226,0.123,0.126
ds_xinyi_zhou,Xinyi Zhou,deepseek_v3_author,0.191,0.213,0.022,0.181,0.207,0.22,0.201,0.038,-0.006
noi_chen_jianfei_2009,Chen Jianfei (陈键飞),noi_china_gold,0.368,0.413,0.045,0.444,0.243,0.413,0.414,-0.031,0.171
cpho_zhou_xiaofei_2009,Zhou Xiaofei (周啸飞),cpho_china_first_prize,0.165,0.201,0.035,0.201,0.107,0.231,0.15,0.03,0.043
ds_zhibin_gou,Zhibin Gou,deepseek_v3_author,0.18,0.288,0.108,0.163,0.207,0.255,0.343,0.091,0.136
noi_lyu_weicong_2009,Lyu Weicong (吕伟聪),noi_china_gold,0.302,0.379,0.076,0.317,0.279,0.327,0.464,0.01,0.185
noi_song_wenjie_2009,Song Wenjie (宋文杰),noi_china_gold,0.401,0.392,-0.009,0.354,0.479,0.396,0.386,0.042,-0.093
cpho_sheng_jiming_2009,Sheng Jiming (生冀明),cpho_china_first_prize,0.234,0.27,0.036,0.241,0.221,0.25,0.304,0.008,0.082
cpho_yan_mengyuan_2009,Yan Mengyuan (严梦媛),cpho_china_first_prize,0.17,0.227,0.057,0.213,0.1,0.309,0.093,0.096,-0.007
msra_yue_cao_2017,Yue Cao,msra_phd_fellowship,0.391,0.383,-0.007,0.439,0.311,0.389,0.374,-0.05,0.063
