k,pearson_mean,pearson_sd,spearman_mean,spearman_sd,pearson_min,pearson_max
3,0.8237905550036467,0.04808316821404079,0.8129121086644916,0.05679983756578166,0.6368772854431276,0.8829408199214229
5,0.8893016882077126,0.029441894245725398,0.8817287613613075,0.036317401320288316,0.7749131286699343,0.9276164548559551
8,0.935955511335758,0.014538646490745115,0.9321073093546366,0.0177835195988496,0.8649496444222278,0.9545353907378505
10,0.9494983456072374,0.011712066559387713,0.9462107383376331,0.01404142430413114,0.894225486256837,0.9638942593812363
15,0.9723502989214888,0.004779233196085295,0.9704650510047158,0.00582496635311436,0.9566369237735584,0.9797313405183259
20,0.9833680125242489,0.003132949328148259,0.9820244448956268,0.003717685855950042,0.9709551716108178,0.9875523072242809
25,0.9906804065376171,0.0016039418541847915,0.9897835359152541,0.0021035112170377673,0.9849506383821881,0.9930500957987791
30,0.9954559754782828,0.0007159490525376676,0.9950563863622348,0.0008203020782801539,0.9931282260888099,0.996595527191259
35,0.9988717625543687,0.00018750371571858962,0.9987604244539371,0.00021845316418926938,0.9983965679509468,0.9991444546467693
