creator,artifact,c_to_a,a_to_c,asymmetry,c_to_a_total,a_to_c_total
Jiayi Weng,Tianshou,0.25,0.0,0.25,28,36
Andrej Karpathy,nanoGPT,1.0,0.676,0.324,37,37
Harrison Chase,LangChain,1.0,0.216,0.784,37,37
Tri Dao,FlashAttention,1.0,0.568,0.432,34,37
