entity_id,model_id,bt_theta,own_score,panel_nr,own_label
cmo_li_xiongfeng_2009,gpt-5.5-think,-14.699,0.5,0.2159,known
cmo_lu_huanran_2009,gpt-5.5-think,-9.2744,0.9,0.3765,known
cmo_sima_jin_2009,gpt-5.5-think,-10.7135,0.6,0.1197,known
cmo_su_jun_2009,gpt-5.5-think,-21.0277,0.6,0.2519,known
cmo_wang_yuchen_2012,gpt-5.5-think,-13.5872,0.0,0.4349,unknown
cmo_xu_yi_2012,gpt-5.5-think,-12.4819,0.0,0.2854,unknown
cmo_ye_lizao_2009,gpt-5.5-think,-19.7696,0.0,0.1586,unknown
cmo_zhu_zirun_2012,gpt-5.5-think,-23.6379,0.0,0.3946,unknown
cpho_hu_qi_2009,gpt-5.5-think,-17.9395,0.0,0.1514,unknown
cpho_qin_yunshan_2009,gpt-5.5-think,-7.1671,0.0,0.1351,unknown
cpho_yu_qian_2009,gpt-5.5-think,-8.1089,0.0,0.1562,unknown
csrankings_albert_sunny,gpt-5.5-think,-20.1852,0.6,0.2597,known
csrankings_amy_ogan,gpt-5.5-think,-6.2543,0.8,0.5435,known
csrankings_andrei_sabelfeld,gpt-5.5-think,-0.3035,0.7,0.6051,known
csrankings_brian_w__kernighan,gpt-5.5-think,21.5267,0.7,0.5589,known
csrankings_charles_chuan_zhang,gpt-5.5-think,-9.216,0.75,0.2435,known
csrankings_daniel_strber_0001,gpt-5.5-think,-7.866,0.7,0.4322,known
csrankings_eran_yahav,gpt-5.5-think,-4.2561,0.7,0.5941,known
csrankings_george_r__buchanan_0001,gpt-5.5-think,-10.9032,0.75,0.2859,known
csrankings_guy_e__blelloch,gpt-5.5-think,2.5138,0.7,0.6341,known
csrankings_jeffrey_todd_ogle,gpt-5.5-think,-18.3279,0.8,0.1973,known
csrankings_joseph_barbosa_beck,gpt-5.5-think,-3.706,0.8,0.2703,known
csrankings_leonid_reyzin,gpt-5.5-think,2.0699,0.8,0.6211,known
csrankings_lesia_semenova,gpt-5.5-think,-3.5044,0.7,0.138,known
csrankings_mark_hepple,gpt-5.5-think,-1.2804,0.8,0.4519,known
csrankings_mark_wah_newman,gpt-5.5-think,-1.7849,0.7,0.2127,known
csrankings_michael_a__forbes_0001,gpt-5.5-think,-1.847,0.8,0.393,known
csrankings_omar_p__vilela_neto,gpt-5.5-think,-17.7807,0.7,0.2438,known
csrankings_ronald_d__dutton,gpt-5.5-think,-15.6842,0.5,0.2541,known
csrankings_seung_jun_kim_0002,gpt-5.5-think,-7.901,0.75,0.3024,known
csrankings_shin_hwei_tan,gpt-5.5-think,-6.8372,0.8,0.3476,known
csrankings_simon_peter_0001,gpt-5.5-think,-2.8565,0.6,0.244,known
csrankings_steven_l__salzberg,gpt-5.5-think,7.8611,0.8,0.6662,known
csrankings_uri_j__wilensky,gpt-5.5-think,4.0529,0.75,0.6514,known
csrankings_venkatachalam_anantharam,gpt-5.5-think,0.6806,0.8,0.4981,known
csrankings_yanfeng_zhang_0001,gpt-5.5-think,-13.4057,0.8,0.36,known
csrankings_yinan_lu,gpt-5.5-think,-22.2799,0.0,0.2176,unknown
csrankings_yongqiang_tian_0001,gpt-5.5-think,-14.7664,0.0,0.273,unknown
csrankings_zhitao_ying,gpt-5.5-think,-3.6294,0.5,0.2654,known
csrankings_ziv_bar_joseph,gpt-5.5-think,4.5941,0.7,0.567,known
ds_jiashi_li,gpt-5.5-think,-8.7097,0.0,0.1395,unknown
ds_xianzu_wang,gpt-5.5-think,-19.7691,0.0,0.1732,unknown
ds_xiaowen_sun,gpt-5.5-think,-3.0476,0.0,0.1362,unknown
ds_yuxiang_luo,gpt-5.5-think,-9.235,0.0,0.1381,unknown
ds_yuyang_zhou,gpt-5.5-think,-17.3485,0.0,0.2003,unknown
ds_zhean_xu,gpt-5.5-think,-2.7075,0.0,0.1284,unknown
gov_ai_tim_wu,gpt-5.5-think,18.1795,1.0,0.775,known
gpt5_chen_shen,gpt-5.5-think,-12.4544,0.0,0.0265,unknown
gpt5_colin_reid,gpt-5.5-think,-12.0883,0.0,0.0243,unknown
gpt5_derek_lim,gpt-5.5-think,-12.8195,0.0,0.0327,unknown
gpt5_erik_ritter,gpt-5.5-think,-11.715,0.0,0.0186,unknown
gpt5_jiancheng_liu,gpt-5.5-think,-13.954,0.0,0.0241,unknown
gpt5_larry_lv,gpt-5.5-think,-16.7143,0.0,0.0151,unknown
gpt5_leah_anise,gpt-5.5-think,-17.2681,0.0,0.0227,unknown
gpt5_li_jing,gpt-5.5-think,-14.0502,0.0,0.0397,unknown
gpt5_marvin_zhang,gpt-5.5-think,-9.5476,0.0,0.0654,unknown
gpt5_natalie_staudacher,gpt-5.5-think,-15.2594,0.0,0.02,unknown
gpt5_shaokyi_amdo,gpt-5.5-think,-19.4598,0.0,0.0146,unknown
gpt5_simon_tobin,gpt-5.5-think,-11.0028,0.0,0.0432,unknown
gpt5_yara_khakbaz,gpt-5.5-think,-16.2658,0.0,0.037,unknown
ikp,gpt-5.5-think,-10.8106,0.0,0.0905,unknown
ikp_t67_albert_gran_alcoz,gpt-5.5-think,-14.7908,0.0,0.1638,unknown
ikp_t67_chong_mou,gpt-5.5-think,-15.0426,0.6,0.1789,known
ikp_t67_christina_solomonidou,gpt-5.5-think,-10.1453,0.0,0.1035,unknown
ikp_t67_christophe_gyurgyik,gpt-5.5-think,-9.2188,0.0,0.0832,unknown
ikp_t67_chuanjun_zeng,gpt-5.5-think,-8.0175,0.0,0.0778,unknown
ikp_t67_heydar_shariatzadeh,gpt-5.5-think,-6.061,0.0,0.1112,unknown
ikp_t67_jaroslaw_cwiklik,gpt-5.5-think,-3.7634,0.0,0.0992,unknown
ikp_t67_jasper_ruehl,gpt-5.5-think,-9.6601,0.0,0.1111,unknown
ikp_t67_joseph_chan,gpt-5.5-think,-16.2688,0.6,0.1627,known
ikp_t67_meni_orenbach,gpt-5.5-think,-12.4422,0.0,0.1816,unknown
ikp_t67_poshun_wang,gpt-5.5-think,-1.7541,0.0,0.1478,unknown
ikp_t67_qiansheng_rao,gpt-5.5-think,-10.9738,0.0,0.1476,unknown
ikp_t67_samson_wang,gpt-5.5-think,-8.0175,0.0,0.0889,unknown
ikp_t67_shuangxi_chen,gpt-5.5-think,-2.655,0.0,0.1376,unknown
ikp_t67_sylvie_dujardin,gpt-5.5-think,-13.658,0.0,0.0451,unknown
ikp_t67_zheming_zhou,gpt-5.5-think,-9.5616,0.0,0.0803,unknown
imo_aleksandr_kalmynin,gpt-5.5-think,-11.823,0.7,0.3962,known
imo_arek_bedroya,gpt-5.5-think,-20.5018,0.0,0.1924,unknown
imo_bogdan_veklych,gpt-5.5-think,-3.8187,0.5,0.323,known
imo_evan_odorney,gpt-5.5-think,5.3827,0.7,0.5416,known
imo_john_berman,gpt-5.5-think,-12.2576,0.0,0.1695,unknown
