entity_id,entity_name,cohort,tier,control,noi_score,noi_rank,gold_words,gold_sources,n_models,namerank,namerank_sd,refusal_rate
noi_pan_yuchao_2009,Pan Yuchao (潘宇超),noi_china_gold,gold,False,498,7,128,3,36,0.14222222222222222,0.15874702291366166,0.4444444444444444
noi_b_sun_su_2009,Sun Su (孙溯),noi_china_bronze,bronze,False,165,103,83,0,36,0.14222222222222222,0.24934482049197018,0.5555555555555556
noi_s_fu_qiang_2009,Fu Qiang (傅强),noi_china_silver,silver,False,336,28,77,4,36,0.14108333333333334,0.22385751606769874,0.5555555555555556
noi_b_liang_jingyuan_2009,Liang Jingyuan (梁景元),noi_china_bronze,bronze,False,230,64,89,5,36,0.13722222222222222,0.27129945643463493,0.6388888888888888
noi_li_xinye_2009,Li Xinye (李新野),noi_china_gold,gold,False,555,2,122,4,36,0.13361111111111112,0.1833659482773569,0.5277777777777778
noi_b_ning_ke_2009,Ning Ke (宁可),noi_china_bronze,bronze,False,190,83,91,3,36,0.13305555555555554,0.26733062596763374,0.6388888888888888
noi_guo_jiabao_2009,Guo Jiabao (郭家宝),noi_china_gold,gold,False,370,17,122,6,36,0.1325,0.19293601414861758,0.3888888888888889
noi_b_zhu_xudong_2009,Zhu Xudong (朱旭东),noi_china_bronze,bronze,False,197,82,110,3,36,0.13083333333333333,0.20493054378929895,0.5277777777777778
noi_s_liu_ke_2009,Liu Ke (刘坷),noi_china_silver,silver,False,279,51,94,2,36,0.12777777777777777,0.2328699101681632,0.5833333333333334
noi_s_zhou_yisong_2009,Zhou Yisong (周逸松),noi_china_silver,silver,False,348,22,104,6,36,0.12722222222222224,0.17436569347703806,0.4722222222222222
noi_chen_jianfei_2009,Chen Jianfei (陈键飞),noi_china_gold,gold,False,369,18,126,2,36,0.12486111111111112,0.1287519477258883,0.2777777777777778
noi_b_chen_yi_2009,Chen Yi (陈怡),noi_china_bronze,bronze,False,210,70,79,3,36,0.12111111111111111,0.25564491191426897,0.6388888888888888
noi_feng_qiwei_2009,Feng Qiwei (冯齐纬),noi_china_gold,gold,False,367,19,121,1,36,0.11805555555555555,0.16502221137444978,0.5277777777777778
bojie_li,Bojie Li,reference_pilot,,True,,,,,36,0.11777777777777777,0.18782543773868438,0.4722222222222222
noi_li_kaiwei_2009,Li Kaiwei (李恺威),noi_china_gold,gold,False,375,13,111,3,36,0.11333333333333334,0.15369522511198005,0.4166666666666667
