imo_entity_id,imo_gold_chars,imo_namerank,partner_entity_id,partner_gold_chars,partner_namerank,delta_chars,delta_namerank_imo_minus_partner,match_kind
imo_elena_madalina_persu,375,0.3516,oa_author_ben_calderhead,689,0.423,-314,-0.07139999999999996,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_lin_chen,361,0.357,oa_author_a__sherstinsky,689,0.3162,-328,0.0408,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_dong_ryul_kim,372,0.3389,oa_author_isabelle_lajoie,690,0.0649,-318,0.27399999999999997,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_andrey_volgin,367,0.327,oa_author_miron_b__kursa,690,0.4466,-323,-0.11959999999999998,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_nazar_serdyuk,368,0.3686,oa_author_rob_tibshirani,690,0.4249,-322,-0.05630000000000002,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_stefan_adrian_ivanovici,378,0.24,oa_author_ryan_matthews,690,0.1327,-312,0.10729999999999998,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_jetze_zoethout,373,0.3178,oa_author_dimitra_dodou,690,0.4146,-317,-0.0968,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_jose_gustavo_garcia_sulca,377,0.327,oa_author_gregg_a__swayze,690,0.5111,-313,-0.18409999999999999,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_aleksandr_kalmynin,372,0.3962,oa_author_fabien_reyal,691,0.5932,-319,-0.19699999999999995,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_sung_gi_park,365,0.3862,oa_author_nicola_bui,691,0.5378,-326,-0.15159999999999996,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_suthee_ruangwises,373,0.4192,oa_author_david_rogers,691,0.5551,-318,-0.13590000000000002,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_mathias_bk_tejs_knudsen,379,0.5527,oa_author_ming_yang,691,0.1357,-312,0.417,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_jirawat_anunrojwong,375,0.417,oa_author_susan_mckenney,691,0.55,-316,-0.13300000000000006,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_kanat_satylkhanov,375,0.4181,oa_author_brenden_m__lake,691,0.6527,-316,-0.23459999999999992,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_so_min_mun,367,0.2327,oa_author_h__wina_sanjaya,692,0.2654,-325,-0.032700000000000035,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_fan_zheng,362,0.4365,cmo_qi_bo_2010,372,0.2973,-10,0.1392,IMO_vs_CMO_tol_50chars
imo_thnh_trung_cn_trn,375,0.2605,cmo_liu_yu_2010,374,0.2195,1,0.04100000000000001,IMO_vs_CMO_tol_50chars
