cohort,n,mean_gold_chars,mean_gold_named_facts,raw_mean_namerank,fe_vs_openalex_baseline,adjusted_mean_namerank_fe,adjusted_mean_namerank_oa_slope,shift_fe,shift_oa_slope
gpt5_system_card_author,80,438.4,3.0,0.04169125,-0.7274915887460051,-0.2636054668264201,0.46190761289975474,-0.3052967168264201,0.4202163628997547
mid_tier_yc_company,25,526.04,0.96,0.100628,-0.5341364404073173,-0.07025031848773239,0.37278032670753974,-0.17087831848773238,0.27215232670753975
mid_tier_activist,2,623.0,0.0,0.11095,-0.3982482672362482,0.06563785468333677,0.22936138147149285,-0.04531214531666322,0.11841138147149285
long_tail_researcher_ikp,159,566.1635220125786,1.9685534591194969,0.1578691823899371,-0.4500240006789577,0.013862121240627245,0.3773152469658302,-0.14400706114930986,0.21944606457589308
deepseek_v3_author,69,599.1594202898551,2.9565217391304346,0.17780579710144925,-0.4108197422341421,0.053066379685442866,0.35513955668881586,-0.12473941741600639,0.1773337595873666
cpho_china_first_prize,50,424.98,5.0,0.182278,-0.6376072412006568,-0.17372111928107187,0.6382687640811904,-0.35599911928107186,0.4559907640811904
mid_tier_architect,36,613.25,0.75,0.25486388888888883,-0.27862347903515405,0.1852626428844309,0.3938081779082276,-0.06960124600445794,0.13894428901933875
cmo_china_gold,131,416.793893129771,4.015267175572519,0.30206946564885495,-0.5093957449480874,-0.04550962302850242,0.7627659909980511,-0.3475790886773574,0.46069652534919614
rhodes_scholar,36,466.5833333333333,3.3055555555555554,0.3147666666666667,-0.42835135918387673,0.035534762735708214,0.6948337370310053,-0.2792319039309585,0.38006707036433857
ioi_gold,68,524.1029411764706,3.8970588235294117,0.3412382352941177,-0.34811085559056854,0.11577526632901641,0.6391149998819656,-0.22546296896510126,0.29787676458784795
msra_phd_fellowship,237,513.2320675105485,5.818565400843882,0.3425101265822785,-0.3932897233816667,0.07059639853791827,0.6717059242543524,-0.2719137280443602,0.3291957976720739
mid_tier_politician,103,443.8252427184466,2.8737864077669903,0.3555087378640778,-0.4053543504535301,0.05853177146605487,0.7665599284923555,-0.2969769663980229,0.4110511906282778
imo_gold,197,369.6243654822335,2.949238578680203,0.36193705583756347,-0.48325336623294013,-0.01936724431335518,0.8855242636586004,-0.38130430015091865,0.5235872078210368
mid_tier_book,130,450.16153846153844,2.230769230769231,0.36299076923076923,-0.37931019828400503,0.08457592363557992,0.7594900264689594,-0.2784148455951893,0.39649925723819013
noi_china_gold,29,439.0689655172414,4.344827586206897,0.36753793103448273,-0.42489824493511147,0.03898787698447348,0.7971855883485889,-0.32855005405000925,0.42964765731410615
long_tail_paper,499,680.0400801603206,4.729458917835672,0.36793667334669333,-0.16188000714956627,0.3020061147700187,0.4370063274221599,-0.06593055857667462,0.06906965407546656
mid_tier_vc,31,323.06451612903226,2.967741935483871,0.401841935483871,-0.49574777952347143,-0.031861657603886484,0.9958197596990115,-0.43370359308775747,0.5939778242151406
cs_faculty,698,656.7464183381089,3.2378223495702008,0.41719111747851,-0.1120538619888457,0.35183225993073924,0.5098246327056689,-0.06535885754777077,0.0926335152271589
mid_tier_podcast,57,455.9824561403509,2.280701754385965,0.42665263157894734,-0.31002981386778367,0.15385630805180128,0.8147572572513583,-0.27279632352714606,0.38810462567241094
mid_tier_online_course,40,474.525,1.9,0.43401750000000006,-0.27513387397014455,0.1887522479494404,0.7911905603272121,-0.24526525205055966,0.3571730603272121
website_or_service,9,278.1111111111111,0.2222222222222222,0.4373444444444445,-0.46151785789508953,0.0023682640244954145,1.0778306264941486,-0.43497618041994907,0.6404861820497041
reference_pilot,37,434.18918918918916,2.972972972972973,0.4520837837837838,-0.3213257535823312,0.14256036833725377,0.8784433639213423,-0.30952341544653,0.4263595801375585
long_tail_researcher_openalex,771,719.5499351491569,3.511024643320363,0.46388612191958495,0.0,0.46388612191958495,0.46388612191958495,0.0,0.0
mid_tier_athlete,134,482.07462686567163,1.9477611940298507,0.4768029850746268,-0.22475785531075598,0.23912826660882897,0.8229563743968441,-0.23767471846579785,0.3461533893222173
mid_tier_religious,30,451.6333333333333,2.2666666666666666,0.48560999999999993,-0.2556856921122266,0.20820042980735837,0.8801673836727307,-0.27740957019264156,0.3945573836727308
mid_tier_journalist,84,451.7857142857143,2.7261904761904763,0.5117595238095238,-0.23756698772415238,0.22631913419543256,0.9096545247609732,-0.28544038961409124,0.39789500095144936
foundation_model,107,190.80373831775702,0.17757009345794392,0.5176158878504672,-0.4780875442261792,-0.014201422306594269,1.2894800219738551,-0.5318173101570615,0.771864134123388
mid_tier_writer,194,532.8556701030927,1.7010309278350515,0.5185958762886598,-0.1217717830732612,0.34211433884632375,0.7862180980360646,-0.17648153744233602,0.2676222217474048
oss_project,184,310.67391304347825,1.7173913043478262,0.5187163043478261,-0.37041483041928075,0.0934712915003042,1.1216812761408887,-0.4252450128475219,0.6029649717930626
mid_tier_oss_maintainer,51,442.6862745098039,2.4705882352941178,0.5248941176470588,-0.23004673383576818,0.23383938808381677,0.9345334852199677,-0.2910547295632421,0.40963936757290886
