cohort,n,mean_namerank,mean_gold_chars,mean_gold_named_facts,r2,beta_gold_chars,beta_gold_named_facts,std_beta_gold_chars,std_beta_gold_named_facts,t_gold_chars,t_gold_named_facts
ai_startup_or_company,102,0.6383617647058825,164.2549019607843,0.5294117647058824,0.11022981729362025,0.006144646043969893,-0.012181694768560812,0.33930337933021043,-0.044352684507477265,3.4847251521041955,-0.4555124548728651
cmo_china_gold,131,0.30206946564885495,416.793893129771,4.015267175572519,0.20948919150033984,-0.0010914297349382386,0.030498370741249847,-0.5253332684915895,0.45177811848225874,-5.492221440553546,4.723221652847
cpho_china_first_prize,50,0.182278,424.98,5.0,0.5565367000726086,0.004967861382073999,-0.37095456349111633,0.7460138739143031,-0.0,7.680102054932564,-7.016155583377009
cs_faculty,698,0.41719111747851,656.7464183381089,3.2378223495702008,0.03727357384445551,0.0013980777632314654,-0.022706755768632896,0.10454545601416619,-0.1561281419966649,2.803855630824043,-4.187276873185013
deepseek_v3_author,69,0.17780579710144925,599.1594202898551,2.9565217391304346,0.06276104977093655,0.004425354050799933,0.020560432314660572,0.21312129246529338,0.10184439627700385,1.765246669165899,0.8435594438917456
foundation_model,107,0.5176158878504672,190.80373831775702,0.17757009345794392,0.14634515916437418,-0.0013593555798694602,0.0073744441496714505,-0.3890122822267223,0.017972469573379994,-3.972328052889369,0.18352259897128811
gpt5_system_card_author,80,0.04169125,438.4,3.0,0.02651630769785751,0.0016660110943016086,-0.20660640412254733,0.16283828695321886,-0.0,1.448230025332049,-1.3655274505858561
imo_gold,197,0.36193705583756347,369.6243654822335,2.949238578680203,0.06700852778327082,0.00032473723910377315,-0.055517794274655814,0.021330411234673104,-0.25848725856982924,0.3074953323495728,-3.7263053488295994
ioi_gold,68,0.3412382352941177,524.1029411764706,3.8970588235294117,0.017872860128075985,0.0005931777699897219,-0.02580916995147743,0.05485252767675088,-0.1260896757874716,0.4449912117283795,-1.022902681614143
long_tail_paper,499,0.36793667334669333,680.0400801603206,4.729458917835672,0.04766011603765985,-0.00010378720974955852,0.01717521112370294,-0.022374454948433705,0.22052346082242116,-0.5049137102971124,4.976448323341005
long_tail_researcher_ikp,159,0.1578691823899371,566.1635220125786,1.9685534591194969,0.01051892411730282,0.0015239102923434462,0.000555721498514584,0.1026212376083878,0.001307403912001174,1.286802914346459,0.016393986300253134
long_tail_researcher_openalex,771,0.46388612191958495,719.5499351491569,3.511024643320363,0.02316903906947443,0.0015087455442093281,-0.0077635179890732705,0.14993809477325476,-0.051606094998829316,4.169797034148532,-1.4351719100374551
mid_tier_actor,123,0.5359552845528454,518.9430894308944,1.991869918699187,0.9534060819698817,-0.00319000973929093,-0.001700675395395927,-0.982796487788377,-0.007611710283807817,-27.200177019795706,-0.2106640283275145
mid_tier_athlete,134,0.4768029850746268,482.07462686567163,1.9477611940298507,0.7869303441354469,-0.002082102136827048,0.005373530392231486,-0.8706931551291331,0.02465212777635035,-16.270860838451743,0.46068047975120446
mid_tier_book,130,0.36299076923076923,450.16153846153844,2.230769230769231,0.08283021749336539,-0.0010874160770675235,0.024716182298903627,-0.18443389240877733,0.2541152099109212,-2.1393932302348806,2.947681430296989
mid_tier_historical,105,0.6220380952380952,458.9904761904762,1.980952380952381,0.12165549573618228,0.00598736543838083,0.013074291266097307,0.350240291577499,0.050674115061190586,3.7550251653295277,0.5432915111126833
mid_tier_journalist,84,0.5117595238095238,451.7857142857143,2.7261904761904763,0.28801273910144454,0.006967174557211137,-0.042760500665630224,0.5376551478068472,-0.1752797448021827,5.652569797629132,-1.8427815590513834
mid_tier_musician,64,0.692290625,423.71875,1.828125,0.05607976264893544,0.001748550909447263,0.01020770477647021,0.17539442696188323,0.08837638728511393,1.1636623266363366,0.5863371728729293
mid_tier_oss_maintainer,51,0.5248941176470588,442.6862745098039,2.4705882352941178,0.20697800545428158,0.007661279077797794,0.013471388703656752,0.4584797046025966,0.057394645122037444,3.5394821574936786,0.4430890185659069
mid_tier_podcast,57,0.42665263157894734,455.9824561403509,2.280701754385965,0.1107582892803638,0.0033324992260539443,-0.00958145399153863,0.38054431673762196,-0.09618684658797269,2.3908928624359485,-0.6043250019091894
mid_tier_politician,103,0.3555087378640778,443.8252427184466,2.8737864077669903,0.0372521485363535,0.0007144232812566241,-0.02237031638304683,0.09587608008224448,-0.14966064612780075,0.9579294171094476,-1.4953086878775836
mid_tier_product,88,0.6031704545454546,395.65909090909093,0.42045454545454547,0.05071335586725412,0.0017722641735667029,0.003950197926798073,0.22225951341915903,0.0330561871540034,2.1029156581444868,0.3127621963025487
mid_tier_writer,194,0.5185958762886598,532.8556701030927,1.7010309278350515,0.8828153546027134,-0.0030318068565803307,0.03499149239181501,-0.8412624877877694,0.12426515359670566,-21.93027237014116,3.2393797465799254
msra_phd_fellowship,237,0.3425101265822785,513.2320675105485,5.818565400843882,0.006171506743311905,0.0004916438936060511,-0.0051730502408378985,0.07358384611111145,-0.03371116899078589,1.125797407210959,-0.5157646501519544
named_method,73,0.5570410958904108,290.26027397260276,0.410958904109589,0.23901773169970286,2.3090438389091546e-06,0.10186735556632938,0.002958002500513818,0.48803344941491206,0.027165615163653,4.4819870407455875
oss_project,184,0.5187163043478261,310.67391304347825,1.7173913043478262,0.49507322244834484,-0.0012696409870688497,-0.01574845102563001,-0.6052567473044045,-0.10492461322445093,-4.300774113814547,-0.7455630399287461
